title,year,conf,conf_long
Knowledge Diffusion for Neural Dialogue Generation,2018,ACL,the Association for Computational Linguistics
Neural Factor Graph Models for Cross-lingual Morphological Tagging,2018,ACL,the Association for Computational Linguistics
Sequicity: Simplifying Task-oriented Dialogue Systems with Single Sequence-to-Sequence Architectures,2018,ACL,the Association for Computational Linguistics
Gaussian Mixture Latent Vector Grammars,2018,ACL,the Association for Computational Linguistics
Extending a Parser to Distant Domains Using a Few Dozen Partially Annotated Examples,2018,ACL,the Association for Computational Linguistics
"Event2Mind: Commonsense Inference on Events, Intents, and Reactions",2018,ACL,the Association for Computational Linguistics
A Helping Hand: Transfer Learning for Deep Sentiment Analysis,2018,ACL,the Association for Computational Linguistics
NASH: Toward End-to-End Neural Architecture for Generative Semantic Hashing,2018,ACL,the Association for Computational Linguistics
Exemplar Encoder-Decoder for Neural Conversation Generation,2018,ACL,the Association for Computational Linguistics
Neural Models for Documents with Metadata,2018,ACL,the Association for Computational Linguistics
Improving Entity Linking by Modeling Latent Relations between Mentions,2018,ACL,the Association for Computational Linguistics
Probabilistic Embedding of Knowledge Graphs with Box Lattice Measures,2018,ACL,the Association for Computational Linguistics
Cross-Domain Sentiment Classification with Target Domain Specific Information,2018,ACL,the Association for Computational Linguistics
Incorporating Latent Meanings of Morphological Compositions to Enhance Word Embeddings,2018,ACL,the Association for Computational Linguistics
Interactive Language Acquisition with One-shot Visual Concept Learning through a Conversational Game,2018,ACL,the Association for Computational Linguistics
The Hitchhiker’s Guide to Testing Statistical Significance in Natural Language Processing,2018,ACL,the Association for Computational Linguistics
Strong Baselines for Neural Semi-Supervised Learning under Domain Shift,2018,ACL,the Association for Computational Linguistics
NeuralREG: An end-to-end approach to referring expression generation,2018,ACL,the Association for Computational Linguistics
Subword-level Word Vector Representations for Korean,2018,ACL,the Association for Computational Linguistics
Visual Attention Model for Name Tagging in Multimodal Social Media,2018,ACL,the Association for Computational Linguistics
"LSTMs Can Learn Syntax-Sensitive Dependencies Well, But Modeling Structure Makes Them Better",2018,ACL,the Association for Computational Linguistics
A Graph-to-Sequence Model for AMR-to-Text Generation,2018,ACL,the Association for Computational Linguistics
Identifying Transferable Information Across Domains for Cross-domain Sentiment Classification,2018,ACL,the Association for Computational Linguistics
Backpropagating through Structured Argmax using a SPIGOT,2018,ACL,the Association for Computational Linguistics
A Stylometric Inquiry into Hyperpartisan and Fake News,2018,ACL,the Association for Computational Linguistics
Numeracy for Language Models: Evaluating and Improving their Ability to Predict Numbers,2018,ACL,the Association for Computational Linguistics
What you can cram into a single \$\&!#* vector: Probing sentence embeddings for linguistic properties,2018,ACL,the Association for Computational Linguistics
Language Generation via DAG Transduction,2018,ACL,the Association for Computational Linguistics
Building Language Models for Text with Named Entities,2018,ACL,the Association for Computational Linguistics
Reliability and Learnability of Human Bandit Feedback for Sequence-to-Sequence Reinforcement Learning,2018,ACL,the Association for Computational Linguistics
To Attend or not to Attend: A Case Study on Syntactic Structures for Semantic Relatedness,2018,ACL,the Association for Computational Linguistics
Straight to the Tree: Constituency Parsing with Neural Syntactic Distance,2018,ACL,the Association for Computational Linguistics
Deep Dyna-Q: Integrating Planning for Task-Completion Dialogue Policy Learning,2018,ACL,the Association for Computational Linguistics
Rumor Detection on Twitter with Tree-structured Recursive Neural Networks,2018,ACL,the Association for Computational Linguistics
Improving Event Coreference Resolution by Modeling Correlations between Event Coreference Chains and Document Topic Structures,2018,ACL,the Association for Computational Linguistics
Aspect Based Sentiment Analysis with Gated Convolutional Networks,2018,ACL,the Association for Computational Linguistics
Modeling Deliberative Argumentation Strategies on Wikipedia,2018,ACL,the Association for Computational Linguistics
Attention Focusing for Neural Machine Translation by Bridging Source and Target Embeddings,2018,ACL,the Association for Computational Linguistics
Illustrative Language Understanding: Large-Scale Visual Grounding with Image Search,2018,ACL,the Association for Computational Linguistics
Universal Language Model Fine-tuning for Text Classification,2018,ACL,the Association for Computational Linguistics
A Structured Variational Autoencoder for Contextual Morphological Inflection,2018,ACL,the Association for Computational Linguistics
Working Memory Networks: Augmenting Memory Networks with a Relational Reasoning Module,2018,ACL,the Association for Computational Linguistics
Sentiment Adaptive End-to-End Dialog Systems,2018,ACL,the Association for Computational Linguistics
On the Limitations of Unsupervised Bilingual Dictionary Induction,2018,ACL,the Association for Computational Linguistics
A Spatial Model for Extracting and Visualizing Latent Discourse Structure in Text,2018,ACL,the Association for Computational Linguistics
What Action Causes This? Towards Naive Physical Action-Effect Prediction,2018,ACL,the Association for Computational Linguistics
"Personalizing Dialogue Agents: I have a dog, do you have pets too?",2018,ACL,the Association for Computational Linguistics
Extractive Summarization with SWAP-NET: Sentences and Words from Alternating Pointer Networks,2018,ACL,the Association for Computational Linguistics
A Unified Model for Extractive and Abstractive Summarization using Inconsistency Loss,2018,ACL,the Association for Computational Linguistics
Graph-to-Sequence Learning using Gated Graph Neural Networks,2018,ACL,the Association for Computational Linguistics
Incorporating Glosses into Neural Word Sense Disambiguation,2018,ACL,the Association for Computational Linguistics
Deep Reinforcement Learning for Chinese Zero Pronoun Resolution,2018,ACL,the Association for Computational Linguistics
Dating Documents using Graph Convolution Networks,2018,ACL,the Association for Computational Linguistics
Question Condensing Networks for Answer Selection in Community Question Answering,2018,ACL,the Association for Computational Linguistics
AdvEntuRe: Adversarial Training for Textual Entailment with Knowledge-Guided Examples,2018,ACL,the Association for Computational Linguistics
Discourse Representation Structure Parsing,2018,ACL,the Association for Computational Linguistics
Retrieval of the Best Counterargument without Prior Topic Knowledge,2018,ACL,the Association for Computational Linguistics
Entity-Centric Joint Modeling of Japanese Coreference Resolution and Predicate Argument Structure Analysis,2018,ACL,the Association for Computational Linguistics
Sequence-to-sequence Models for Cache Transition Systems,2018,ACL,the Association for Computational Linguistics
Improving Text-to-SQL Evaluation Methodology,2018,ACL,the Association for Computational Linguistics
"Retrieve, Rerank and Rewrite: Soft Template Based Neural Summarization",2018,ACL,the Association for Computational Linguistics
Language Modeling for Code-Mixing: The Role of Linguistic Theory based Synthetic Data,2018,ACL,the Association for Computational Linguistics
A Purely End-to-End System for Multi-speaker Speech Recognition,2018,ACL,the Association for Computational Linguistics
Fluency Boost Learning and Inference for Neural Grammatical Error Correction,2018,ACL,the Association for Computational Linguistics
Chinese NER Using Lattice LSTM,2018,ACL,the Association for Computational Linguistics
Efficient Low-rank Multimodal Fusion With Modality-Specific Factors,2018,ACL,the Association for Computational Linguistics
A Stochastic Decoder for Neural Machine Translation,2018,ACL,the Association for Computational Linguistics
