title,year,conf,conf_long
"Proceedings of the 28th ACM International Conference on Information and Knowledge Management, CIKM 2019, Beijing, China, November 3-7, 2019.",2019,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
Autonomous Driving Towards Mass Production.,2019,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
The Fisher-Rao Metric in Computer Vision.,2019,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
From Unstructured Text to TextCube: Automated Construction and Multidimensional Exploration.,2019,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
Practicing the Art of Data Science.,2019,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
On VR Spatial Query for Dual Entangled Worlds.,2019,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
Sketching Streaming Histogram Elements using Multiple Weighted Factors.,2019,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
Improved Compressed String Dictionaries.,2019,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
On Transforming Relevance Scales.,2019,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
Streamline Density Peak Clustering for Practical Adoptions.,2019,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
Recommendation-based Team Formation for On-demand Taxi-calling Platforms.,2019,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
DeepIST: Deep Image-based Spatio-Temporal Network for Travel Time Estimation.,2019,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
Personalized Route Description Based On Historical Trajectories.,2019,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
Geolocating Tweets in any Language at any Location.,2019,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
SeiSMo: Semi-supervised Time Series Motif Discovery for Seismic Signal Detection.,2019,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
UA-CRNN: Uncertainty-Aware Convolutional Recurrent Neural Network for Mortality Risk Prediction.,2019,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
Learning More with Less: Conditional PGGAN-based Data Augmentation for Brain Metastases Detection Using Highly-Rough Annotation on MR Images.,2019,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
Domain Knowledge Guided Deep Atrial Fibrillation Classification and Its Visual Interpretation.,2019,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
Question Difficulty Prediction for Multiple Choice Problems in Medical Exams.,2019,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
GRAPHENE: A Precise Biomedical Literature Retrieval Engine with Graph Augmented Deep Learning and External Knowledge Empowerment.,2019,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
Video-level Multi-model Fusion for Action Recognition.,2019,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
Large Scale Landmark Recognition via Deep Metric Learning.,2019,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
Multi-stage Deep Classifier Cascades for Open World Recognition.,2019,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
Inferring Context from Pixels for Multimodal Image Classification.,2019,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
Multi-Target Multi-Camera Tracking with Human Body Part Semantic Features.,2019,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
Efficient Join Processing Over Incomplete Data Streams.,2019,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
Inclusion Dependency Discovery: An Experimental Evaluation of Thirteen Algorithms.,2019,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
Constructing a Comprehensive Events Database from the Web.,2019,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
Deploying Hash Tables on Die-Stacked High Bandwidth Memory.,2019,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
Partially Shared Adversarial Learning For Semi-supervised Multi-platform User Identity Linkage.,2019,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
Adversarial Domain Adaptation with Semantic Consistency for Cross-Domain Image Classification.,2019,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
ATL: Autonomous Knowledge Transfer from Many Streaming Processes.,2019,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
Knowledge Transfer based on Multiple Manifolds Assumption.,2019,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
Cross-domain Aspect Category Transfer and Detection via Traceable Heterogeneous Graph Representation Learning.,2019,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
A Deep Neural Framework for Sales Forecasting in E-Commerce.,2019,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
An Active and Deep Semantic Matching Framework for Query Rewrite in E-Commercial Search Engine.,2019,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
AIBox: CTR Prediction Model Training on a Single Node.,2019,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
Improving Ad Click Prediction by Considering Non-displayed Events.,2019,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
Approximation Algorithms for Coordinating Ad Campaigns on Social Networks.,2019,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
Regularized Adversarial Sampling and Deep Time-aware Attention for Click-Through Rate Prediction.,2019,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
Conversational Product Search Based on Negative Feedback.,2019,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
Learning to Ask: Question-based Sequential Bayesian Product Search.,2019,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
A Zero Attention Model for Personalized Product Search.,2019,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
Learning to Generate Personalized Product Descriptions.,2019,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
Fast and Accurate Network Embeddings via Very Sparse Random Projection.,2019,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
Hierarchical Community Structure Preserving Network Embedding: A Subspace Approach.,2019,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
Collective Link Prediction Oriented Network Embedding with Hierarchical Graph Attention.,2019,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
Discerning Edge Influence for Network Embedding.,2019,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
Constrained Co-embedding Model for User Profiling in Question Answering Communities.,2019,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
Hyper-Path-Based Representation Learning for Hyper-Networks.,2019,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
Multi-Hot Compact Network Embedding.,2019,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
Temporal Network Embedding with Micro- and Macro-dynamics.,2019,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
MrMine: Multi-resolution Multi-network Embedding.,2019,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
Task-Guided Pair Embedding in Heterogeneous Network.,2019,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
Graph Convolutional Networks with Motif-based Attention.,2019,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
Long-tail Hashtag Recommendation for Micro-videos with Graph Convolutional Network.,2019,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
Hashing Graph Convolution for Node Classification.,2019,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
Relation-Aware Graph Convolutional Networks for Agent-Initiated Social E-Commerce Recommendation.,2019,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
Fi-GNN: Modeling Feature Interactions via Graph Neural Networks for CTR Prediction.,2019,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
Key Player Identification in Underground Forums over Attributed Heterogeneous Information Network Embedding Framework.,2019,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
Learning to Identify High Betweenness Centrality Nodes from Scratch: A Novel Graph Neural Network Approach.,2019,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
Multiple Rumor Source Detection with Graph Convolutional Networks.,2019,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
Rethinking the Item Order in Session-based Recommendation with Graph Neural Networks.,2019,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
Gravity-Inspired Graph Autoencoders for Directed Link Prediction.,2019,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
Discovering Hypernymy in Text-Rich Heterogeneous Information Network by Exploiting Context Granularity.,2019,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
: Enhancing Robustness of Android Malware Detection System against Adversarial Attacks on Heterogeneous Graph based Model.,2019,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
BHIN2vec: Balancing the Type of Relation in Heterogeneous Information Network.,2019,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
Deep Sequence-to-Sequence Entity Matching for Heterogeneous Entity Resolution.,2019,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
HeteSpaceyWalk: A Heterogeneous Spacey Random Walk for Heterogeneous Information Network Embedding.,2019,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
EHR Coding with Multi-scale Feature Attention and Structured Knowledge Graph Propagation.,2019,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
A Fine-grained and Noise-aware Method for Neural Relation Extraction.,2019,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
Learning Region Similarity over Spatial Knowledge Graphs with Hierarchical Types and Semantic Relations.,2019,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
Bayes EMbedding (BEM): Refining Representation by Integrating Knowledge Graphs and Behavior-specific Networks.,2019,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
A Benchmark for Fact Checking Algorithms Built on Knowledge Bases.,2019,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
Online Schemaless Querying of Heterogeneous Open Knowledge Bases.,2019,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
Enhancing Conversational Dialogue Models with Grounded Knowledge.,2019,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
MedTruth: A Semi-supervised Approach to Discovering Knowledge Condition Information from Multi-Source Medical Data.,2019,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
Look before you Hop: Conversational Question Answering over Knowledge Graphs Using Judicious Context Expansion.,2019,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
Learning to Answer Complex Questions over Knowledge Bases with Query Composition.,2019,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
Auto-completion for Data Cells in Relational Tables.,2019,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
Author Set Identification via Quasi-Clique Discovery.,2019,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
AdaFair: Cumulative Fairness Adaptive Boosting.,2019,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
New Online Kernel Ridge Regression via Incremental Predictive Sampling.,2019,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
Online Kernel Selection via Tensor Sketching.,2019,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
One-Class Active Learning for Outlier Detection with Multiple Subspaces.,2019,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
AutoGRD: Model Recommendation Through Graphical Dataset Representation.,2019,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
Batch Mode Active Learning for Semantic Segmentation Based on Multi-Clue Sample Selection.,2019,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
CRUX: Adaptive Querying for Efficient Crowdsourced Data Extraction.,2019,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
