title,year,conf,conf_long
Dual Super-Resolution Learning for Semantic Segmentation,2020,CVPR,The Conference on Computer Vision and Pattern Recognition
Deep Unfolding Network for Image Super-Resolution,2020,CVPR,The Conference on Computer Vision and Pattern Recognition
Unsupervised Learning for Intrinsic Image Decomposition From a Single Image,2020,CVPR,The Conference on Computer Vision and Pattern Recognition
COCAS: A Large-Scale Clothes Changing Person Dataset for Re-Identification,2020,CVPR,The Conference on Computer Vision and Pattern Recognition
Dynamic Convolutions: Exploiting Spatial Sparsity for Faster Inference,2020,CVPR,The Conference on Computer Vision and Pattern Recognition
Alleviation of Gradient Exploding in GANs: Fake Can Be Real,2020,CVPR,The Conference on Computer Vision and Pattern Recognition
Forward and Backward Information Retention for Accurate Binary Neural Networks,2020,CVPR,The Conference on Computer Vision and Pattern Recognition
Cooling-Shrinking Attack: Blinding the Tracker With Imperceptible Noises,2020,CVPR,The Conference on Computer Vision and Pattern Recognition
Zooming Slow-Mo: Fast and Accurate One-Stage Space-Time Video Super-Resolution,2020,CVPR,The Conference on Computer Vision and Pattern Recognition
A Hierarchical Graph Network for 3D Object Detection on Point Clouds,2020,CVPR,The Conference on Computer Vision and Pattern Recognition
Online Joint Multi-Metric Adaptation From Frequent Sharing-Subset Mining for Person Re-Identification,2020,CVPR,The Conference on Computer Vision and Pattern Recognition
Learning to Discriminate Information for Online Action Detection,2020,CVPR,The Conference on Computer Vision and Pattern Recognition
Advisable Learning for Self-Driving Vehicles by Internalizing Observation-to-Action Rules,2020,CVPR,The Conference on Computer Vision and Pattern Recognition
Video to Events: Recycling Video Datasets for Event Cameras,2020,CVPR,The Conference on Computer Vision and Pattern Recognition
Bundle Pooling for Polygonal Architecture Segmentation Problem,2020,CVPR,The Conference on Computer Vision and Pattern Recognition
"Use the Force, Luke! Learning to Predict Physical Forces by Simulating Effects",2020,CVPR,The Conference on Computer Vision and Pattern Recognition
Articulation-Aware Canonical Surface Mapping,2020,CVPR,The Conference on Computer Vision and Pattern Recognition
NeuralScale: Efficient Scaling of Neurons for Resource-Constrained Deep Neural Networks,2020,CVPR,The Conference on Computer Vision and Pattern Recognition
Transfer Learning From Synthetic to Real-Noise Denoising With Adaptive Instance Normalization,2020,CVPR,The Conference on Computer Vision and Pattern Recognition
Variational Context-Deformable ConvNets for Indoor Scene Parsing,2020,CVPR,The Conference on Computer Vision and Pattern Recognition
Augmenting Colonoscopy Using Extended and Directional CycleGAN for Lossy Image Translation,2020,CVPR,The Conference on Computer Vision and Pattern Recognition
BANet: Bidirectional Aggregation Network With Occlusion Handling for Panoptic Segmentation,2020,CVPR,The Conference on Computer Vision and Pattern Recognition
C2FNAS: Coarse-to-Fine Neural Architecture Search for 3D Medical Image Segmentation,2020,CVPR,The Conference on Computer Vision and Pattern Recognition
Seeing the World in a Bag of Chips,2020,CVPR,The Conference on Computer Vision and Pattern Recognition
Lightweight Multi-View 3D Pose Estimation Through Camera-Disentangled Representation,2020,CVPR,The Conference on Computer Vision and Pattern Recognition
Robust Design of Deep Neural Networks Against Adversarial Attacks Based on Lyapunov Theory,2020,CVPR,The Conference on Computer Vision and Pattern Recognition
Cross-Modal Deep Face Normals With Deactivable Skip Connections,2020,CVPR,The Conference on Computer Vision and Pattern Recognition
Progressive Adversarial Networks for Fine-Grained Domain Adaptation,2020,CVPR,The Conference on Computer Vision and Pattern Recognition
ActBERT: Learning Global-Local Video-Text Representations,2020,CVPR,The Conference on Computer Vision and Pattern Recognition
Towards Visually Explaining Variational Autoencoders,2020,CVPR,The Conference on Computer Vision and Pattern Recognition
CenterMask: Single Shot Instance Segmentation With Point Representation,2020,CVPR,The Conference on Computer Vision and Pattern Recognition
BidNet: Binocular Image Dehazing Without Explicit Disparity Estimation,2020,CVPR,The Conference on Computer Vision and Pattern Recognition
Unsupervised Learning From Video With Deep Neural Embeddings,2020,CVPR,The Conference on Computer Vision and Pattern Recognition
Cascaded Deep Video Deblurring Using Temporal Sharpness Prior,2020,CVPR,The Conference on Computer Vision and Pattern Recognition
Reflection Scene Separation From a Single Image,2020,CVPR,The Conference on Computer Vision and Pattern Recognition
SmallBigNet: Integrating Core and Contextual Views for Video Classification,2020,CVPR,The Conference on Computer Vision and Pattern Recognition
From Two Rolling Shutters to One Global Shutter,2020,CVPR,The Conference on Computer Vision and Pattern Recognition
CvxNet: Learnable Convex Decomposition,2020,CVPR,The Conference on Computer Vision and Pattern Recognition
RoboTHOR: An Open Simulation-to-Real Embodied AI Platform,2020,CVPR,The Conference on Computer Vision and Pattern Recognition
Style Normalization and Restitution for Generalizable Person Re-Identification,2020,CVPR,The Conference on Computer Vision and Pattern Recognition
Training Noise-Robust Deep Neural Networks via Meta-Learning,2020,CVPR,The Conference on Computer Vision and Pattern Recognition
IDA-3D: Instance-Depth-Aware 3D Object Detection From Stereo Vision for Autonomous Driving,2020,CVPR,The Conference on Computer Vision and Pattern Recognition
One-Shot Domain Adaptation for Face Generation,2020,CVPR,The Conference on Computer Vision and Pattern Recognition
A Unified Optimization Framework for Low-Rank Inducing Penalties,2020,CVPR,The Conference on Computer Vision and Pattern Recognition
Cost Volume Pyramid Based Depth Inference for Multi-View Stereo,2020,CVPR,The Conference on Computer Vision and Pattern Recognition
Learning for Video Compression With Hierarchical Quality and Recurrent Enhancement,2020,CVPR,The Conference on Computer Vision and Pattern Recognition
Sub-Frame Appearance and 6D Pose Estimation of Fast Moving Objects,2020,CVPR,The Conference on Computer Vision and Pattern Recognition
TetraTSDF: 3D Human Reconstruction From a Single Image With a Tetrahedral Outer Shell,2020,CVPR,The Conference on Computer Vision and Pattern Recognition
Flow2Stereo: Effective Self-Supervised Learning of Optical Flow and Stereo Matching,2020,CVPR,The Conference on Computer Vision and Pattern Recognition
Local Class-Specific and Global Image-Level Generative Adversarial Networks for Semantic-Guided Scene Generation,2020,CVPR,The Conference on Computer Vision and Pattern Recognition
Fast Soft Color Segmentation,2020,CVPR,The Conference on Computer Vision and Pattern Recognition
Partial Weight Adaptation for Robust DNN Inference,2020,CVPR,The Conference on Computer Vision and Pattern Recognition
Deep Facial Non-Rigid Multi-View Stereo,2020,CVPR,The Conference on Computer Vision and Pattern Recognition
HUMBI: A Large Multiview Dataset of Human Body Expressions,2020,CVPR,The Conference on Computer Vision and Pattern Recognition
Towards Transferable Targeted Attack,2020,CVPR,The Conference on Computer Vision and Pattern Recognition
Supervised Raw Video Denoising With a Benchmark Dataset on Dynamic Scenes,2020,CVPR,The Conference on Computer Vision and Pattern Recognition
FDA: Fourier Domain Adaptation for Semantic Segmentation,2020,CVPR,The Conference on Computer Vision and Pattern Recognition
SGAS: Sequential Greedy Architecture Search,2020,CVPR,The Conference on Computer Vision and Pattern Recognition
Instance Segmentation of Biological Images Using Harmonic Embeddings,2020,CVPR,The Conference on Computer Vision and Pattern Recognition
Rethinking Zero-Shot Video Classification: End-to-End Training for Realistic Applications,2020,CVPR,The Conference on Computer Vision and Pattern Recognition
A Multigrid Method for Efficiently Training Video Models,2020,CVPR,The Conference on Computer Vision and Pattern Recognition
Attention-Aware Multi-View Stereo,2020,CVPR,The Conference on Computer Vision and Pattern Recognition
PPDM: Parallel Point Detection and Matching for Real-Time Human-Object Interaction Detection,2020,CVPR,The Conference on Computer Vision and Pattern Recognition
PULSE: Self-Supervised Photo Upsampling via Latent Space Exploration of Generative Models,2020,CVPR,The Conference on Computer Vision and Pattern Recognition
FroDO: From Detections to 3D Objects,2020,CVPR,The Conference on Computer Vision and Pattern Recognition
KeypointNet: A Large-Scale 3D Keypoint Dataset Aggregated From Numerous Human Annotations,2020,CVPR,The Conference on Computer Vision and Pattern Recognition
Bridging the Gap Between Anchor-Based and Anchor-Free Detection via Adaptive Training Sample Selection,2020,CVPR,The Conference on Computer Vision and Pattern Recognition
Structure Aware Single-Stage 3D Object Detection From Point Cloud,2020,CVPR,The Conference on Computer Vision and Pattern Recognition
MINA: Convex Mixed-Integer Programming for Non-Rigid Shape Alignment,2020,CVPR,The Conference on Computer Vision and Pattern Recognition
Enhanced Transport Distance for Unsupervised Domain Adaptation,2020,CVPR,The Conference on Computer Vision and Pattern Recognition
A Local-to-Global Approach to Multi-Modal Movie Scene Segmentation,2020,CVPR,The Conference on Computer Vision and Pattern Recognition
TA-Student VQA: Multi-Agents Training by Self-Questioning,2020,CVPR,The Conference on Computer Vision and Pattern Recognition
Deep Structure-Revealed Network for Texture Recognition,2020,CVPR,The Conference on Computer Vision and Pattern Recognition
Dynamic Traffic Modeling From Overhead Imagery,2020,CVPR,The Conference on Computer Vision and Pattern Recognition
In Defense of Grid Features for Visual Question Answering,2020,CVPR,The Conference on Computer Vision and Pattern Recognition
Rethinking the Route Towards Weakly Supervised Object Localization,2020,CVPR,The Conference on Computer Vision and Pattern Recognition
Deep Shutter Unrolling Network,2020,CVPR,The Conference on Computer Vision and Pattern Recognition
BlendMask: Top-Down Meets Bottom-Up for Instance Segmentation,2020,CVPR,The Conference on Computer Vision and Pattern Recognition
Towards Learning Structure via Consensus for Face Segmentation and Parsing,2020,CVPR,The Conference on Computer Vision and Pattern Recognition
Pixel Consensus Voting for Panoptic Segmentation,2020,CVPR,The Conference on Computer Vision and Pattern Recognition
Towards Unsupervised Learning of Generative Models for 3D Controllable Image Synthesis,2020,CVPR,The Conference on Computer Vision and Pattern Recognition
Exploit Clues From Views: Self-Supervised and Regularized Learning for Multiview Object Recognition,2020,CVPR,The Conference on Computer Vision and Pattern Recognition
SampleNet: Differentiable Point Cloud Sampling,2020,CVPR,The Conference on Computer Vision and Pattern Recognition
Guided Variational Autoencoder for Disentanglement Learning,2020,CVPR,The Conference on Computer Vision and Pattern Recognition
Online Deep Clustering for Unsupervised Representation Learning,2020,CVPR,The Conference on Computer Vision and Pattern Recognition
Discrete Model Compression With Resource Constraint for Deep Neural Networks,2020,CVPR,The Conference on Computer Vision and Pattern Recognition
GhostNet: More Features From Cheap Operations,2020,CVPR,The Conference on Computer Vision and Pattern Recognition
SDFDiff: Differentiable Rendering of Signed Distance Fields for 3D Shape Optimization,2020,CVPR,The Conference on Computer Vision and Pattern Recognition
Self2Self With Dropout: Learning Self-Supervised Denoising From Single Image,2020,CVPR,The Conference on Computer Vision and Pattern Recognition
A Spatiotemporal Volumetric Interpolation Network for 4D Dynamic Medical Image,2020,CVPR,The Conference on Computer Vision and Pattern Recognition
Where Am I Looking At? Joint Location and Orientation Estimation by Cross-View Matching,2020,CVPR,The Conference on Computer Vision and Pattern Recognition
Towards Large Yet Imperceptible Adversarial Image Perturbations With Perceptual Color Distance,2020,CVPR,The Conference on Computer Vision and Pattern Recognition
Assessing Image Quality Issues for Real-World Problems,2020,CVPR,The Conference on Computer Vision and Pattern Recognition
Adaptive Dilated Network With Self-Correction Supervision for Counting,2020,CVPR,The Conference on Computer Vision and Pattern Recognition
Weakly Supervised Fine-Grained Image Classification via Guassian Mixture Model Oriented Discriminative Learning,2020,CVPR,The Conference on Computer Vision and Pattern Recognition
Violin: A Large-Scale Dataset for Video-and-Language Inference,2020,CVPR,The Conference on Computer Vision and Pattern Recognition
Local Context Normalization: Revisiting Local Normalization,2020,CVPR,The Conference on Computer Vision and Pattern Recognition
Tangent Images for Mitigating Spherical Distortion,2020,CVPR,The Conference on Computer Vision and Pattern Recognition
Normalized and Geometry-Aware Self-Attention Network for Image Captioning,2020,CVPR,The Conference on Computer Vision and Pattern Recognition
Deepstrip: High-Resolution Boundary Refinement,2020,CVPR,The Conference on Computer Vision and Pattern Recognition
xMUDA: Cross-Modal Unsupervised Domain Adaptation for 3D Semantic Segmentation,2020,CVPR,The Conference on Computer Vision and Pattern Recognition
Seeing without Looking: Contextual Rescoring of Object Detections for AP Maximization,2020,CVPR,The Conference on Computer Vision and Pattern Recognition
Learning Geocentric Object Pose in Oblique Monocular Images,2020,CVPR,The Conference on Computer Vision and Pattern Recognition
DPGN: Distribution Propagation Graph Network for Few-Shot Learning,2020,CVPR,The Conference on Computer Vision and Pattern Recognition
Cross-Domain Document Object Detection: Benchmark Suite and Method,2020,CVPR,The Conference on Computer Vision and Pattern Recognition
A Disentangling Invertible Interpretation Network for Explaining Latent Representations,2020,CVPR,The Conference on Computer Vision and Pattern Recognition
SynSin: End-to-End View Synthesis From a Single Image,2020,CVPR,The Conference on Computer Vision and Pattern Recognition
