title,year,conf,conf_long
STAR: Sparse Trained Articulated Human Body Regressor,2020,ECCV,European Conference on Computer Vision
Optical Flow Distillation: Towards Efficient and Stable Video Style Transfer,2020,ECCV,European Conference on Computer Vision
Collaboration by Competition: Self-coordinated Knowledge Amalgamation for Multi-talent Student Learning,2020,ECCV,European Conference on Computer Vision
TSIT: A Simple and Versatile Framework for Image-to-Image Translation,2020,ECCV,European Conference on Computer Vision
Do Not Disturb Me: Person Re-identification Under the Interference of Other Pedestrians,2020,ECCV,European Conference on Computer Vision
Learning 3D Part Assembly from a Single Image,2020,ECCV,European Conference on Computer Vision
PT2PC: Learning to Generate 3D Point Cloud Shapes from Part Tree Conditions,2020,ECCV,European Conference on Computer Vision
ProxyBNN: Learning Binarized Neural Networks via Proxy Matrices,2020,ECCV,European Conference on Computer Vision
Highly Efficient Salient Object Detection with 100K Parameters,2020,ECCV,European Conference on Computer Vision
HardGAN: A Haze-Aware Representation Distillation GAN for Single Image Dehazing,2020,ECCV,European Conference on Computer Vision
Lifespan Age Transformation Synthesis,2020,ECCV,European Conference on Computer Vision
Domain2Vec: Domain Embedding for Unsupervised Domain Adaptation,2020,ECCV,European Conference on Computer Vision
Simulating Content Consistent Vehicle Datasets with Attribute Descent,2020,ECCV,European Conference on Computer Vision
Multiview Detection with Feature Perspective Transformation,2020,ECCV,European Conference on Computer Vision
Learning Object Relation Graph and Tentative Policy for Visual Navigation,2020,ECCV,European Conference on Computer Vision
Adversarial Self-Supervised Learning for Semi-Supervised 3D Action Recognition,2020,ECCV,European Conference on Computer Vision
Across Scales & Across Dimensions: Temporal Super-Resolution using Deep Internal Learning,2020,ECCV,European Conference on Computer Vision
Inducing Optimal Attribute Representations for Conditional GANs,2020,ECCV,European Conference on Computer Vision
HMOR: Hierarchical Multi-Person Ordinal Relations for Monocular Multi-Person 3D Pose Estimation,2020,ECCV,European Conference on Computer Vision
AR-Net: Adaptive Frame Resolution for Efficient Action Recognition,2020,ECCV,European Conference on Computer Vision
Image-to-Voxel Model Translation for 3D Scene Reconstruction and Segmentation,2020,ECCV,European Conference on Computer Vision
Consistency Guided Scene Flow Estimation,2020,ECCV,European Conference on Computer Vision
Autoregressive Unsupervised Image Segmentation,2020,ECCV,European Conference on Computer Vision
Controllable Image Synthesis via SegVAE,2020,ECCV,European Conference on Computer Vision
Off-Policy Reinforcement Learning for Efficient and Effective GAN Architecture Search,2020,ECCV,European Conference on Computer Vision
Efficient Non-Line-of-Sight Imaging from Transient Sinograms,2020,ECCV,European Conference on Computer Vision
Texture Hallucination for Large-Factor Painting Super-Resolution,2020,ECCV,European Conference on Computer Vision
Learning Progressive Joint Propagation for Human Motion Prediction,2020,ECCV,European Conference on Computer Vision
Image Stitching and Rectification for Hand-Held Cameras,2020,ECCV,European Conference on Computer Vision
ParSeNet: A Parametric Surface Fitting Network for 3D Point Clouds,2020,ECCV,European Conference on Computer Vision
The Group Loss for Deep Metric Learning,2020,ECCV,European Conference on Computer Vision
Mask2CAD: 3D Shape Prediction by Learning to Segment and Retrieve,2020,ECCV,European Conference on Computer Vision
Learning Object Depth from Camera Motion and Video Object Segmentation,2020,ECCV,European Conference on Computer Vision
OnlineAugment: Online Data Augmentation with Less Domain Knowledge,2020,ECCV,European Conference on Computer Vision
Learning Pairwise Inter-Plane Relations for Piecewise Planar Reconstruction,2020,ECCV,European Conference on Computer Vision
A Unified Framework of Surrogate Loss by Refactoring and Interpolation,2020,ECCV,European Conference on Computer Vision
Intra-class Feature Variation Distillation for Semantic Segmentation,2020,ECCV,European Conference on Computer Vision
Temporal Distinct Representation Learning for Action Recognition,2020,ECCV,European Conference on Computer Vision
Representative Graph Neural Network,2020,ECCV,European Conference on Computer Vision
Deformation-Aware 3D Model Embedding and Retrieval,2020,ECCV,European Conference on Computer Vision
Quaternion Equivariant Capsule Networks for 3D Point Clouds,2020,ECCV,European Conference on Computer Vision
