title,year,conf,conf_long
FaceForensics++: Learning to Detect Manipulated Facial Images,2019,ICCV,International Conference on Computer Vision
DeepVCP: An End-to-End Deep Neural Network for Point Cloud Registration,2019,ICCV,International Conference on Computer Vision
Shape Reconstruction Using Differentiable Projections and Deep Priors,2019,ICCV,International Conference on Computer Vision
Fine-Grained Segmentation Networks: Self-Supervised Segmentation for Improved Long-Term Visual Localization,2019,ICCV,International Conference on Computer Vision
SANet: Scene Agnostic Network for Camera Localization,2019,ICCV,International Conference on Computer Vision
Total Denoising: Unsupervised Learning of 3D Point Cloud Cleaning,2019,ICCV,International Conference on Computer Vision
Hierarchical Self-Attention Network for Action Localization in Videos,2019,ICCV,International Conference on Computer Vision
Goal-Driven Sequential Data Abstraction,2019,ICCV,International Conference on Computer Vision
Jointly Aligning Millions of Images With Deep Penalised Reconstruction Congealing,2019,ICCV,International Conference on Computer Vision
Drop to Adapt: Learning Discriminative Features for Unsupervised Domain Adaptation,2019,ICCV,International Conference on Computer Vision
NLNL: Negative Learning for Noisy Labels,2019,ICCV,International Conference on Computer Vision
"Adversarial Robustness vs. Model Compression, or Both?",2019,ICCV,International Conference on Computer Vision
On the Design of Black-Box Adversarial Examples by Leveraging Gradient-Free Optimization and Operator Splitting Method,2019,ICCV,International Conference on Computer Vision
DewarpNet: Single-Image Document Unwarping With Stacked 3D and 2D Regression Networks,2019,ICCV,International Conference on Computer Vision
Learning Robust Facial Landmark Detection via Hierarchical Structured Ensemble,2019,ICCV,International Conference on Computer Vision
Remote Heart Rate Measurement From Highly Compressed Facial Videos: An End-to-End Deep Learning Solution With Video Enhancement,2019,ICCV,International Conference on Computer Vision
Face-to-Parameter Translation for Game Character Auto-Creation,2019,ICCV,International Conference on Computer Vision
Visual Deprojection: Probabilistic Recovery of Collapsed Dimensions,2019,ICCV,International Conference on Computer Vision
StructureFlow: Image Inpainting via Structure-Aware Appearance Flow,2019,ICCV,International Conference on Computer Vision
Learning Fixed Points in Generative Adversarial Networks: From Image-to-Image Translation to Disease Detection and Localization,2019,ICCV,International Conference on Computer Vision
Generative Adversarial Training for Weakly Supervised Cloud Matting,2019,ICCV,International Conference on Computer Vision
PAMTRI: Pose-Aware Multi-Task Learning for Vehicle Re-Identification Using Highly Randomized Synthetic Data,2019,ICCV,International Conference on Computer Vision
Generative Adversarial Networks for Extreme Learned Image Compression,2019,ICCV,International Conference on Computer Vision
Instance-Guided Context Rendering for Cross-Domain Person Re-Identification,2019,ICCV,International Conference on Computer Vision
What Else Can Fool Deep Learning? Addressing Color Constancy Errors on Deep Neural Network Performance,2019,ICCV,International Conference on Computer Vision
Beyond Cartesian Representations for Local Descriptors,2019,ICCV,International Conference on Computer Vision
Distilling Knowledge From a Deep Pose Regressor Network,2019,ICCV,International Conference on Computer Vision
Instance-Level Future Motion Estimation in a Single Image Based on Ordinal Regression,2019,ICCV,International Conference on Computer Vision
Vision-Infused Deep Audio Inpainting,2019,ICCV,International Conference on Computer Vision
HAWQ: Hessian AWare Quantization of Neural Networks With Mixed-Precision,2019,ICCV,International Conference on Computer Vision
Evaluating Robustness of Deep Image Super-Resolution Against Adversarial Attacks,2019,ICCV,International Conference on Computer Vision
Overcoming Catastrophic Forgetting With Unlabeled Data in the Wild,2019,ICCV,International Conference on Computer Vision
Symmetric Cross Entropy for Robust Learning With Noisy Labels,2019,ICCV,International Conference on Computer Vision
Few-Shot Learning With Embedded Class Models and Shot-Free Meta Training,2019,ICCV,International Conference on Computer Vision
Dual Directed Capsule Network for Very Low Resolution Image Recognition,2019,ICCV,International Conference on Computer Vision
Recognizing Part Attributes With Insufficient Data,2019,ICCV,International Conference on Computer Vision
