title,year,conf,conf_long
On the Convergence of Adam and Beyond,2018,ICLR,International Conference on Machine Learning
Synthetic and Natural Noise Both Break Neural Machine Translation,2018,ICLR,International Conference on Machine Learning
Multi-Scale Dense Networks for Resource Efficient Image Classification,2018,ICLR,International Conference on Machine Learning
Training and Inference with Integers in Deep Neural Networks,2018,ICLR,International Conference on Machine Learning
Emergence of Linguistic Communication from  Referential Games with Symbolic and Pixel Input,2018,ICLR,International Conference on Machine Learning
Spherical CNNs,2018,ICLR,International Conference on Machine Learning
Ask the Right Questions: Active Question Reformulation with Reinforcement Learning,2018,ICLR,International Conference on Machine Learning
On the insufficiency of existing momentum schemes for Stochastic Optimization,2018,ICLR,International Conference on Machine Learning
Certifying Some Distributional Robustness with Principled Adversarial Training,2018,ICLR,International Conference on Machine Learning
Learning Deep Mean Field Games for Modeling Large Population Behavior,2018,ICLR,International Conference on Machine Learning
Wasserstein Auto-Encoders,2018,ICLR,International Conference on Machine Learning
Spectral Normalization for Generative Adversarial Networks,2018,ICLR,International Conference on Machine Learning
Learning to Represent Programs with Graphs,2018,ICLR,International Conference on Machine Learning
Characterizing Adversarial Subspaces Using Local Intrinsic Dimensionality,2018,ICLR,International Conference on Machine Learning
Breaking the Softmax Bottleneck: A High-Rank RNN Language Model,2018,ICLR,International Conference on Machine Learning
Continuous Adaptation via Meta-Learning in Nonstationary and Competitive Environments,2018,ICLR,International Conference on Machine Learning
Boosting Dilated Convolutional Networks with Mixed Tensor Decompositions,2018,ICLR,International Conference on Machine Learning
Neural Sketch Learning for Conditional Program Generation,2018,ICLR,International Conference on Machine Learning
"Progressive Growing of GANs for Improved Quality, Stability, and Variation",2018,ICLR,International Conference on Machine Learning
Variance Reduction for Policy Gradient with Action-Dependent Factorized Baselines,2018,ICLR,International Conference on Machine Learning
Zero-Shot Visual Imitation,2018,ICLR,International Conference on Machine Learning
Beyond Word Importance:  Contextual Decomposition to Extract Interactions from LSTMs,2018,ICLR,International Conference on Machine Learning
AmbientGAN: Generative models from lossy measurements,2018,ICLR,International Conference on Machine Learning
Minimal-Entropy Correlation Alignment for Unsupervised Deep Domain Adaptation,2018,ICLR,International Conference on Machine Learning
Large Scale Optimal Transport and Mapping Estimation,2018,ICLR,International Conference on Machine Learning
TRUNCATED HORIZON POLICY SEARCH: COMBINING REINFORCEMENT LEARNING & IMITATION LEARNING,2018,ICLR,International Conference on Machine Learning
Model-Ensemble Trust-Region Policy Optimization,2018,ICLR,International Conference on Machine Learning
A Neural Representation of Sketch Drawings,2018,ICLR,International Conference on Machine Learning
Deep Learning with Logged Bandit Feedback,2018,ICLR,International Conference on Machine Learning
Learning Latent Permutations with Gumbel-Sinkhorn Networks,2018,ICLR,International Conference on Machine Learning
Learning an Embedding Space for Transferable Robot Skills,2018,ICLR,International Conference on Machine Learning
Unsupervised Learning of Goal Spaces for Intrinsically Motivated Goal Exploration,2018,ICLR,International Conference on Machine Learning
Multi-View Data Generation Without View Supervision,2018,ICLR,International Conference on Machine Learning
Deep Bayesian Bandits Showdown:  An Empirical Comparison of Bayesian Deep Networks for Thompson Sampling,2018,ICLR,International Conference on Machine Learning
Semantic Interpolation in Implicit Models,2018,ICLR,International Conference on Machine Learning
Fidelity-Weighted Learning,2018,ICLR,International Conference on Machine Learning
Latent Space Oddity: on the Curvature of Deep Generative Models,2018,ICLR,International Conference on Machine Learning
Imitation Learning from Visual Data with Multiple Intentions,2018,ICLR,International Conference on Machine Learning
Hyperparameter optimization: a spectral approach,2018,ICLR,International Conference on Machine Learning
Leveraging Grammar and Reinforcement Learning for Neural Program Synthesis,2018,ICLR,International Conference on Machine Learning
Efficient Sparse-Winograd Convolutional Neural Networks,2018,ICLR,International Conference on Machine Learning
Espresso: Efficient Forward Propagation for Binary Deep Neural Networks,2018,ICLR,International Conference on Machine Learning
Auto-Conditioned Recurrent Networks for Extended Complex Human Motion Synthesis,2018,ICLR,International Conference on Machine Learning
Decoupling the Layers in Residual Networks,2018,ICLR,International Conference on Machine Learning
Polar Transformer Networks,2018,ICLR,International Conference on Machine Learning
Enhancing The Reliability of Out-of-distribution Image Detection in Neural Networks,2018,ICLR,International Conference on Machine Learning
Stabilizing Adversarial Nets with Prediction Methods,2018,ICLR,International Conference on Machine Learning
Graph Attention Networks,2018,ICLR,International Conference on Machine Learning
Minimax Curriculum Learning: Machine Teaching with Desirable Difficulties and Scheduled Diversity,2018,ICLR,International Conference on Machine Learning
Generalizing Hamiltonian Monte Carlo with Neural Networks,2018,ICLR,International Conference on Machine Learning
An Online Learning Approach to Generative Adversarial Networks,2018,ICLR,International Conference on Machine Learning
Improving GANs Using Optimal Transport,2018,ICLR,International Conference on Machine Learning
The Kanerva Machine: A Generative Distributed Memory,2018,ICLR,International Conference on Machine Learning
Mixed Precision Training,2018,ICLR,International Conference on Machine Learning
Latent Constraints: Learning to Generate Conditionally from Unconditional Generative Models,2018,ICLR,International Conference on Machine Learning
MaskGAN: Better Text Generation via Filling in the _______,2018,ICLR,International Conference on Machine Learning
Divide and Conquer Networks,2018,ICLR,International Conference on Machine Learning
Meta-Learning and Universality: Deep Representations and Gradient Descent can Approximate any Learning Algorithm,2018,ICLR,International Conference on Machine Learning
Maximum a Posteriori Policy Optimisation,2018,ICLR,International Conference on Machine Learning
META LEARNING SHARED HIERARCHIES,2018,ICLR,International Conference on Machine Learning
Deep Neural Networks as Gaussian Processes,2018,ICLR,International Conference on Machine Learning
Syntax-Directed Variational Autoencoder for Structured Data,2018,ICLR,International Conference on Machine Learning
Neural-Guided Deductive Search for Real-Time Program Synthesis from Examples,2018,ICLR,International Conference on Machine Learning
Evidence Aggregation for Answer Re-Ranking in Open-Domain Question Answering,2018,ICLR,International Conference on Machine Learning
