title,year,conf,conf_long
SelectiveNet: A Deep Neural Network with an Integrated Reject Option,2019,ICML,International Conference on Machine Learning
Manifold Mixup: Better Representations by Interpolating Hidden States,2019,ICML,International Conference on Machine Learning
Processing Megapixel Images with Deep Attention-Sampling Models,2019,ICML,International Conference on Machine Learning
TapNet: Neural Network Augmented with Task-Adaptive Projection for Few-Shot Learning,2019,ICML,International Conference on Machine Learning
Online Meta-Learning,2019,ICML,International Conference on Machine Learning
Training Neural Networks with Local Error Signals,2019,ICML,International Conference on Machine Learning
GMNN: Graph Markov Neural Networks,2019,ICML,International Conference on Machine Learning
Self-Attention Graph Pooling,2019,ICML,International Conference on Machine Learning
Combating Label Noise in Deep Learning using Abstention,2019,ICML,International Conference on Machine Learning
LGM-Net: Learning to Generate Matching Networks for Few-Shot Learning,2019,ICML,International Conference on Machine Learning
Self-Attention Generative Adversarial Networks,2019,ICML,International Conference on Machine Learning
Multivariate-Information Adversarial Ensemble for Scalable Joint Distribution Matching,2019,ICML,International Conference on Machine Learning
High-Fidelity Image Generation With Fewer Labels,2019,ICML,International Conference on Machine Learning
Revisiting precision recall definition for generative modeling,2019,ICML,International Conference on Machine Learning
Wasserstein of Wasserstein Loss for Learning Generative Models,2019,ICML,International Conference on Machine Learning
Flat Metric Minimization with Applications in Generative Modeling,2019,ICML,International Conference on Machine Learning
Entropic GANs meet VAEs: A Statistical Approach to Compute Sample Likelihoods in GANs,2019,ICML,International Conference on Machine Learning
Non-Parametric Priors For Generative Adversarial Networks,2019,ICML,International Conference on Machine Learning
Lipschitz Generative Adversarial Nets,2019,ICML,International Conference on Machine Learning
HexaGAN: Generative Adversarial Nets for Real World Classification,2019,ICML,International Conference on Machine Learning
Graph Matching Networks for Learning the Similarity of Graph Structured Objects,2019,ICML,International Conference on Machine Learning
BayesNAS: A Bayesian Approach for Neural Architecture Search,2019,ICML,International Conference on Machine Learning
Set Transformer: A Framework for Attention-based Permutation-Invariant Neural Networks,2019,ICML,International Conference on Machine Learning
Shallow-Deep Networks: Understanding and Mitigating Network Overthinking,2019,ICML,International Conference on Machine Learning
Graph U-Nets,2019,ICML,International Conference on Machine Learning
SATNet: Bridging deep learning and logical reasoning using a differentiable satisfiability solver,2019,ICML,International Conference on Machine Learning
Area Attention,2019,ICML,International Conference on Machine Learning
The Evolved Transformer,2019,ICML,International Conference on Machine Learning
Jumpout : Improved Dropout for Deep Neural Networks with ReLUs,2019,ICML,International Conference on Machine Learning
Stochastic Deep Networks,2019,ICML,International Conference on Machine Learning
ELF OpenGo: an analysis and open reimplementation of AlphaZero,2019,ICML,International Conference on Machine Learning
Making Deep Q-learning methods robust to time discretization,2019,ICML,International Conference on Machine Learning
Nonlinear Distributional Gradient Temporal-Difference Learning,2019,ICML,International Conference on Machine Learning
Composing Entropic Policies using Divergence Correction,2019,ICML,International Conference on Machine Learning
TibGM: A Transferable and Information-Based Graphical Model Approach for Reinforcement Learning,2019,ICML,International Conference on Machine Learning
Multi-Agent Adversarial Inverse Reinforcement Learning,2019,ICML,International Conference on Machine Learning
Policy Consolidation for Continual Reinforcement Learning,2019,ICML,International Conference on Machine Learning
Off-Policy Deep Reinforcement Learning without Exploration,2019,ICML,International Conference on Machine Learning
Random Expert Distillation: Imitation Learning via Expert Policy Support Estimation,2019,ICML,International Conference on Machine Learning
Revisiting the Softmax Bellman Operator: New Benefits and New Perspective,2019,ICML,International Conference on Machine Learning
An Investigation of Model-Free Planning,2019,ICML,International Conference on Machine Learning
CURIOUS: Intrinsically Motivated Modular Multi-Goal Reinforcement Learning,2019,ICML,International Conference on Machine Learning
Task-Agnostic Dynamics Priors for Deep Reinforcement Learning,2019,ICML,International Conference on Machine Learning
Diagnosing Bottlenecks in Deep Q-learning Algorithms,2019,ICML,International Conference on Machine Learning
Collaborative Evolutionary Reinforcement Learning,2019,ICML,International Conference on Machine Learning
EMI: Exploration with Mutual Information,2019,ICML,International Conference on Machine Learning
Imitation Learning from Imperfect Demonstration,2019,ICML,International Conference on Machine Learning
Curiosity-Bottleneck: Exploration By Distilling Task-Specific Novelty,2019,ICML,International Conference on Machine Learning
Dynamic Weights in Multi-Objective Deep Reinforcement Learning,2019,ICML,International Conference on Machine Learning
Fingerprint Policy Optimisation for Robust Reinforcement Learning,2019,ICML,International Conference on Machine Learning
An Investigation into Neural Net Optimization via Hessian Eigenvalue Density,2019,ICML,International Conference on Machine Learning
Differentiable Linearized ADMM,2019,ICML,International Conference on Machine Learning
Adaptive Stochastic Natural Gradient Method for One-Shot Neural Architecture Search,2019,ICML,International Conference on Machine Learning
A Quantitative Analysis of the Effect of Batch Normalization on Gradient Descent,2019,ICML,International Conference on Machine Learning
The Effect of Network Width on Stochastic Gradient Descent and Generalization: an Empirical Study,2019,ICML,International Conference on Machine Learning
AdaGrad stepsizes: sharp convergence over nonconvex landscapes,2019,ICML,International Conference on Machine Learning
Beyond Backprop: Online Alternating Minimization with Auxiliary Variables,2019,ICML,International Conference on Machine Learning
SWALP : Stochastic Weight Averaging in Low Precision Training,2019,ICML,International Conference on Machine Learning
Efficient optimization of loops and limits with randomized telescoping sums,2019,ICML,International Conference on Machine Learning
Self-similar Epochs: Value in arrangement,2019,ICML,International Conference on Machine Learning
Adversarial Attacks on Node Embeddings via Graph Poisoning,2019,ICML,International Conference on Machine Learning
First-Order Adversarial Vulnerability of Neural Networks and Input Dimension,2019,ICML,International Conference on Machine Learning
On Certifying Non-Uniform Bounds against Adversarial Attacks,2019,ICML,International Conference on Machine Learning
Improving Adversarial Robustness via Promoting Ensemble Diversity,2019,ICML,International Conference on Machine Learning
Adversarial camera stickers: A physical camera-based attack on deep learning systems,2019,ICML,International Conference on Machine Learning
Adversarial examples from computational constraints,2019,ICML,International Conference on Machine Learning
POPQORN: Quantifying Robustness of Recurrent Neural Networks,2019,ICML,International Conference on Machine Learning
Using Pre-Training Can Improve Model Robustness and Uncertainty,2019,ICML,International Conference on Machine Learning
Generalized No Free Lunch Theorem for Adversarial Robustness,2019,ICML,International Conference on Machine Learning
PROVEN: Verifying Robustness of Neural Networks with a Probabilistic Approach,2019,ICML,International Conference on Machine Learning
On Learning Invariant Representations for Domain Adaptation,2019,ICML,International Conference on Machine Learning
Lexicographic and Depth-Sensitive Margins in Homogeneous and Non-Homogeneous Deep Models,2019,ICML,International Conference on Machine Learning
Adversarial Generation of Time-Frequency Features with application in audio synthesis,2019,ICML,International Conference on Machine Learning
On the Universality of Invariant Networks,2019,ICML,International Conference on Machine Learning
Fine-Grained Analysis of Optimization and Generalization for Overparameterized Two-Layer Neural Networks,2019,ICML,International Conference on Machine Learning
Gauge Equivariant Convolutional Networks and the Icosahedral CNN,2019,ICML,International Conference on Machine Learning
Feature-Critic Networks for Heterogeneous Domain Generalization,2019,ICML,International Conference on Machine Learning
Learning to Convolve: A Generalized Weight-Tying Approach,2019,ICML,International Conference on Machine Learning
On Dropout and Nuclear Norm Regularization,2019,ICML,International Conference on Machine Learning
Gradient Descent Finds Global Minima of Deep Neural Networks,2019,ICML,International Conference on Machine Learning
Composable Core-sets for Determinant Maximization: A Simple Near-Optimal Algorithm,2019,ICML,International Conference on Machine Learning
Sublinear Time Nearest Neighbor Search over Generalized Weighted Space,2019,ICML,International Conference on Machine Learning
Compressing Gradient Optimizers via Count-Sketches,2019,ICML,International Conference on Machine Learning
Scalable Fair Clustering,2019,ICML,International Conference on Machine Learning
Conditional Gradient Methods via Stochastic Path-Integrated Differential Estimator,2019,ICML,International Conference on Machine Learning
Fault Tolerance in Iterative-Convergent Machine Learning,2019,ICML,International Conference on Machine Learning
