title,year,conf,conf_long
Smoothed Dilated Convolutions for Improved Dense Prediction,2018,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Discovering Non-Redundant K-means Clusterings in Optimal Subspaces,2018,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Trajectory-driven Influential Billboard Placement,2018,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Multi-Type Itemset Embedding for Learning Behavior Success,2018,KDD,Special Interest Group on Knowledge Discovery and Data Mining
STAMP: Short-Term Attention/Memory Priority Model for Session-based Recommendation,2018,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Calibrated Multi-Task Learning,2018,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Unlearn What You Have Learned: Adaptive Crowd Teaching with Exponentially Decayed Memory Learners,2018,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Interactive Paths Embedding for Semantic Proximity Search on Heterogeneous Graphs,2018,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Scalable Active Learning by Approximated Error Reduction,2018,KDD,Special Interest Group on Knowledge Discovery and Data Mining
R2SDH: Robust Rotated Supervised Discrete Hashing,2018,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Learning Adversarial Networks for Semi-Supervised Text Classification via Policy Gradient,2018,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Multi-view Adversarially Learned Inference for Cross-domain Joint Distribution Matching,2018,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Disturbance Grassmann Kernels for Subspace-Based Learning,2018,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Finding Similar Exercises with a Unified Semantic Representation,2018,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Supervised Reinforcement Learning with Recurrent Neural Network for Dynamic Treatment Recommendation,2018,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Transcribing Content from Structural Images with Spotlight Mechanism,2018,KDD,Special Interest Group on Knowledge Discovery and Data Mining
StockAssIstant: A Stock AI Assistant for Reliability Modeling of Stock Comments,2018,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Leveraging Meta-path based Context for Top N recommendation with Co-attention mechanism,2018,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Subspace Network: Deep Multi-Task Censored Regression for Modeling Neurodegenerative Diseases,2018,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Learning Dynamics of Decision Boundaries without Additional Labeled Data,2018,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Arbitrary-Order Proximity Preserved Network Embedding,2018,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Scalable k-Means Clustering via Lightweight Coresets,2018,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Voxel Deconvolutional Networks for 3D Brain Image Labeling,2018,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Count-Min: Optimal Estimation and Tight Error Bounds using Empirical Error Distributions,2018,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Metric Learning from Probabilistic Labels,2018,KDD,Special Interest Group on Knowledge Discovery and Data Mining
TextTruth: An Unsupervised Approach to Discover Trustworthy Information from Multi-Sourced Text Data,2018,KDD,Special Interest Group on Knowledge Discovery and Data Mining
HeavyGuardian: Separate and Guard Hot Items in Data Streams,2018,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Can Who-Edits-What Predict Edit Survival?,2018,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Graph Classification using Structural Attention,2018,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Opinion Dynamics with Varying Susceptibility to Persuasion,2018,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Efficient Attribute Recommendation with Probabilistic Guarantee,2018,KDD,Special Interest Group on Knowledge Discovery and Data Mining
You Are How You Drive: Peer and Temporal-Aware Representation Learning for Driving Behavior Analysis,2018,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Simultaneous Urban Region Function Discovery and Popularity Estimation Via an Infinite Urbanization,2018,KDD,Special Interest Group on Knowledge Discovery and Data Mining
MiSoSouP: Mining Interesting Subgroups with Sampling and Pseudodimension,2018,KDD,Special Interest Group on Knowledge Discovery and Data Mining
NetLSD: Hearing the Shape of a Graph,2018,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Efficient Large-Scale Fleet Management via Multi-Agent Deep Reinforcement Learning,2018,KDD,Special Interest Group on Knowledge Discovery and Data Mining
A Dual Markov Chain Topic Model for Dynamic Environments,2018,KDD,Special Interest Group on Knowledge Discovery and Data Mining
An Efficient Two-Layer Mechanism for Privacy-Preserving Truth Discovery,2018,KDD,Special Interest Group on Knowledge Discovery and Data Mining
SUSTain: Scalable Unsupervised Scoring for Tensors and its Application to Phenotyping,2018,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Learning Deep Network Representations with Adversarially Regularized Autoencoders,2018,KDD,Special Interest Group on Knowledge Discovery and Data Mining
FASTEN: Fast Sylvester Equation Solver for Graph Mining,2018,KDD,Special Interest Group on Knowledge Discovery and Data Mining
TINET: Learning Invariant Networks via Knowledge Transfer,2018,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Modeling Task Relationships in Multi-task Learning with Multi-gate Mixture-of-Experts,2018,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Towards Mitigating the Class-Imbalance Problem for Partial Label Learning,2018,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Exploring the Urban Region-of-Interest through the Analysis of Online Map Search Queries,2018,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Complex Object Classification: A Multi-Modal Multi-Instance Multi-Label Deep Network with Optimal Tr,2018,KDD,Special Interest Group on Knowledge Discovery and Data Mining
New Robust Metric Learning Model Using Maximum Correntropy Criterion,2018,KDD,Special Interest Group on Knowledge Discovery and Data Mining
TruePIE: Discovering Reliable Patterns in Pattern-Based Information Extraction,2018,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Network Connectivity Optimization: Fundamental Limits and Effective Algorithms,2018,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Risk Prediction on Electronic Healthcare Records with Prior Medical Knowledge,2018,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Ranking Distillation: Learning Compact Ranking Models With High Performance for Recommender System,2018,KDD,Special Interest Group on Knowledge Discovery and Data Mining
xDeepFM: Combining Explicit and Implicit Feature Interactions for Recommender Systems,2018,KDD,Special Interest Group on Knowledge Discovery and Data Mining
NetWalk: A Flexible Deep Embedding Approach for Anomaly Detection in Dynamic Networks,2018,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Cost-Effective Training of Deep CNNs with Active Model Adaptation,2018,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Adversarial Detection with Model Interpretation,2018,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Offline Evaluation of Ranking Policies with Click Models,2018,KDD,Special Interest Group on Knowledge Discovery and Data Mining
REST: A Reference-based Framework for Spatio-temporal Trajectory Compression,2018,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Efficient Similar Region Search with Deep Metric Learning,2018,KDD,Special Interest Group on Knowledge Discovery and Data Mining
High-order Proximity Preserving Information Network Hashing,2018,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Decoupled Learning for Factorial Marked Temporal Point Processes,2018,KDD,Special Interest Group on Knowledge Discovery and Data Mining
R-VQA: Learning Visual Relation Facts with Semantic Attention for Visual Question Answering,2018,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Multi-label Learning with Highly Incomplete Data via Collaborative Embedding,2018,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Spectral Clustering of Large-scale Data by Directly Solving Normalized Cut,2018,KDD,Special Interest Group on Knowledge Discovery and Data Mining
SpotLight: Detecting Anomalies in Streaming Graphs,2018,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Learning Representations of Ultrahigh-dimensional Data for Random Distance-based Outlier Detection,2018,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Dynamic Embeddings for User Profiling in Twitter,2018,KDD,Special Interest Group on Knowledge Discovery and Data Mining
A Unified Approach to Quantifying Algorithmic Unfairness: Measuring Individual & Group Unfairness vi,2018,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Multiview Clustering via Adaptively Weighted Procrustes,2018,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Deep Variational Network Embedding in Wasserstein Space,2018,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Geographical Hidden Markov Tree for Flood Extent Mapping,2018,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Embedding Temporal Network via Neighborhood Formation,2018,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Algorithms for Hiring and Outsourcing in the Online Labor Market,2018,KDD,Special Interest Group on Knowledge Discovery and Data Mining
"Data Diff: Interpretable, Executable Summaries of Changes in Distributions for Data Wrangling",2018,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Hierarchical Taxonomy Aware Network Embedding,2018,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Exact and Consistent Interpretation for Piecewise Linear Neural Networks: A Closed Form Solution,2018,KDD,Special Interest Group on Knowledge Discovery and Data Mining
TaxoGen: Constructing Topical Concept Taxonomy by Adaptive Term Embedding and Clustering,2018,KDD,Special Interest Group on Knowledge Discovery and Data Mining
