title,year,conf,conf_long
MultiSumm: Towards a Unified Model for Multi-Lingual Abstractive Summarization,2020,AAAI,the Association for the Advancement of Artificial Intelligence
Efficient Heterogeneous Collaborative Filtering without Negative Sampling for Recommendation,2020,AAAI,the Association for the Advancement of Artificial Intelligence
Revisiting Graph Based Collaborative Filtering: A Linear Residual Graph Convolutional Network Approach,2020,AAAI,the Association for the Advancement of Artificial Intelligence
Question-Driven Purchasing Propensity Analysis for Recommendation,2020,AAAI,the Association for the Advancement of Artificial Intelligence
Gradient Method for Continuous Influence Maximization with Budget-Saving Considerations,2020,AAAI,the Association for the Advancement of Artificial Intelligence
Norm-Explicit Quantization: Improving Vector Quantization for Maximum Inner Product Search,2020,AAAI,the Association for the Advancement of Artificial Intelligence
Modeling Fluency and Faithfulness for Diverse Neural Machine Translation,2020,AAAI,the Association for the Advancement of Artificial Intelligence
Leveraging Title-Abstract Attentive Semantics for Paper Recommendation,2020,AAAI,the Association for the Advancement of Artificial Intelligence
Preserving Ordinal Consensus: Towards Feature Selection for Unlabeled Data,2020,AAAI,the Association for the Advancement of Artificial Intelligence
An Attentional Recurrent Neural Network for Personalized Next Location Recommendation,2020,AAAI,the Association for the Advancement of Artificial Intelligence
Re-Attention for Visual Question Answering,2020,AAAI,the Association for the Advancement of Artificial Intelligence
Semi-Supervised Multi-Modal Learning with Balanced Spectral Decomposition,2020,AAAI,the Association for the Advancement of Artificial Intelligence
MuMod: A Micro-Unit Connection Approach for Hybrid-Order Community Detection,2020,AAAI,the Association for the Advancement of Artificial Intelligence
Cross-Lingual Pre-Training Based Transfer for Zero-Shot Neural Machine Translation,2020,AAAI,the Association for the Advancement of Artificial Intelligence
Functionality Discovery and Prediction of Physical Objects,2020,AAAI,the Association for the Advancement of Artificial Intelligence
True Nonlinear Dynamics from Incomplete Networks,2020,AAAI,the Association for the Advancement of Artificial Intelligence
Understanding and Improving Proximity Graph Based Maximum Inner Product Search,2020,AAAI,the Association for the Advancement of Artificial Intelligence
Type-Aware Anchor Link Prediction across Heterogeneous Networks Based on Graph Attention Network,2020,AAAI,the Association for the Advancement of Artificial Intelligence
Deep Match to Rank Model for Personalized Click-Through Rate Prediction,2020,AAAI,the Association for the Advancement of Artificial Intelligence
Modality to Modality Translation: An Adversarial Representation Learning and Graph Fusion Network for Multimodal Fusion,2020,AAAI,the Association for the Advancement of Artificial Intelligence
A Variational Point Process Model for Social Event Sequences,2020,AAAI,the Association for the Advancement of Artificial Intelligence
Incremental Fairness in Two-Sided Market Platforms: On Smoothly Updating Recommendations,2020,AAAI,the Association for the Advancement of Artificial Intelligence
Towards Comprehensive Recommender Systems: Time-Aware Unified Recommendations Based on Listwise Ranking of Implicit Cross-Network Data,2020,AAAI,the Association for the Advancement of Artificial Intelligence
Minimizing the Bag-of-Ngrams Difference for Non-Autoregressive Neural Machine Translation,2020,AAAI,the Association for the Advancement of Artificial Intelligence
PEIA: Personality and Emotion Integrated Attentive Model for Music Recommendation on Social Media Platforms,2020,AAAI,the Association for the Advancement of Artificial Intelligence
Where to Go Next: Modeling Long- and Short-Term User Preferences for Point-of-Interest Recommendation,2020,AAAI,the Association for the Advancement of Artificial Intelligence
Knowledge Graph Alignment Network with Gated Multi-Hop Neighborhood Aggregation,2020,AAAI,the Association for the Advancement of Artificial Intelligence
Learning with Unsure Responses,2020,AAAI,the Association for the Advancement of Artificial Intelligence
Author Name Disambiguation on Heterogeneous Information Network with Adversarial Representation Learning,2020,AAAI,the Association for the Advancement of Artificial Intelligence
Social Influence Does Matter: User Action Prediction for In-Feed Advertising,2020,AAAI,the Association for the Advancement of Artificial Intelligence
A Spherical Convolution Approach for Learning Long Term Viewport Prediction in 360 Immersive Video,2020,AAAI,the Association for the Advancement of Artificial Intelligence
Mining Unfollow Behavior in Large-Scale Online Social Networks via Spatial-Temporal Interaction,2020,AAAI,the Association for the Advancement of Artificial Intelligence
Who Likes What? -- SplitLBI in Exploring Preferential Diversity of Ratings,2020,AAAI,the Association for the Advancement of Artificial Intelligence
Multi-Feature Discrete Collaborative Filtering for Fast Cold-Start Recommendation,2020,AAAI,the Association for the Advancement of Artificial Intelligence
Cross-Modal Attention Network for Temporal Inconsistent Audio-Visual Event Localization,2020,AAAI,the Association for the Advancement of Artificial Intelligence
Learning to Match on Graph for Fashion Compatibility Modeling,2020,AAAI,the Association for the Advancement of Artificial Intelligence
D2D-LSTM: LSTM-Based Path Prediction of Content Diffusion Tree in Device-to-Device Social Networks,2020,AAAI,the Association for the Advancement of Artificial Intelligence
An End-to-End Visual-Audio Attention Network for Emotion Recognition in User-Generated Videos,2020,AAAI,the Association for the Advancement of Artificial Intelligence
Multi-Channel Reverse Dictionary Model,2020,AAAI,the Association for the Advancement of Artificial Intelligence
Table2Analysis: Modeling and Recommendation of Common Analysis Patterns for Multi-Dimensional Data,2020,AAAI,the Association for the Advancement of Artificial Intelligence
A Recurrent Model for Collective Entity Linking with Adaptive Features,2020,AAAI,the Association for the Advancement of Artificial Intelligence
FairyTED: A Fair Rating Predictor for TED Talk Data,2020,AAAI,the Association for the Advancement of Artificial Intelligence
"Crisis-DIAS: Towards Multimodal Damage Analysis - Deployment, Challenges and Assessment",2020,AAAI,the Association for the Advancement of Artificial Intelligence
Unsupervised Detection of Sub-Events in Large Scale Disasters,2020,AAAI,the Association for the Advancement of Artificial Intelligence
Spatio-Temporal Attention-Based Neural Network for Credit Card Fraud Detection,2020,AAAI,the Association for the Advancement of Artificial Intelligence
Tracking Disaster Footprints with Social Streaming Data,2020,AAAI,the Association for the Advancement of Artificial Intelligence
Detecting and Tracking Communal Bird Roosts in Weather Radar Data,2020,AAAI,the Association for the Advancement of Artificial Intelligence
"Hindi-English Hate Speech Detection: Author Profiling, Debiasing, and Practical Perspectives",2020,AAAI,the Association for the Advancement of Artificial Intelligence
Inferring Nighttime Satellite Imagery from Human Mobility,2020,AAAI,the Association for the Advancement of Artificial Intelligence
A Distributed Multi-Sensor Machine Learning Approach to Earthquake Early Warning,2020,AAAI,the Association for the Advancement of Artificial Intelligence
Faking Fairness via Stealthily Biased Sampling,2020,AAAI,the Association for the Advancement of Artificial Intelligence
Discriminating Cognitive Disequilibrium and Flow in Problem Solving: A Semi-Supervised Approach Using Involuntary Dynamic Behavioral Signals,2020,AAAI,the Association for the Advancement of Artificial Intelligence
Lightweight and Robust Representation of Economic Scales from Satellite Imagery,2020,AAAI,the Association for the Advancement of Artificial Intelligence
The Unreasonable Effectiveness of Inverse Reinforcement Learning in Advancing Cancer Research,2020,AAAI,the Association for the Advancement of Artificial Intelligence
Linguistic Fingerprints of Internet Censorship: The Case of Sina Weibo,2020,AAAI,the Association for the Advancement of Artificial Intelligence
Voice for the Voiceless: Active Sampling to Detect Comments Supporting the Rohingyas,2020,AAAI,the Association for the Advancement of Artificial Intelligence
Guided Weak Supervision for Action Recognition with Scarce Data to Assess Skills of Children with Autism,2020,AAAI,the Association for the Advancement of Artificial Intelligence
The Stanford Acuity Test: A Precise Vision Test Using Bayesian Techniques and a Discovery in Human Visual Response,2020,AAAI,the Association for the Advancement of Artificial Intelligence
Automatically Neutralizing Subjective Bias in Text,2020,AAAI,the Association for the Advancement of Artificial Intelligence
Capturing the Style of Fake News,2020,AAAI,the Association for the Advancement of Artificial Intelligence
On Identifying Hashtags in Disaster Twitter Data,2020,AAAI,the Association for the Advancement of Artificial Intelligence
Neural Approximate Dynamic Programming for On-Demand Ride-Pooling,2020,AAAI,the Association for the Advancement of Artificial Intelligence
Weak Supervision for Fake News Detection via Reinforcement Learning,2020,AAAI,the Association for the Advancement of Artificial Intelligence
Protecting Geolocation Privacy of Photo Collections,2020,AAAI,the Association for the Advancement of Artificial Intelligence
Weakly-Supervised Fine-Grained Event Recognition on Social Media Texts for Disaster Management,2020,AAAI,the Association for the Advancement of Artificial Intelligence
Interactive Learning with Proactive Cognition Enhancement for Crowd Workers,2020,AAAI,the Association for the Advancement of Artificial Intelligence
Rumor Detection on Social Media with Bi-Directional Graph Convolutional Networks,2020,AAAI,the Association for the Advancement of Artificial Intelligence
Doctor2Vec: Dynamic Doctor Representation Learning for Clinical Trial Recruitment,2020,AAAI,the Association for the Advancement of Artificial Intelligence
TrueLearn: A Family of Bayesian Algorithms to Match Lifelong Learners to Open Educational Resources,2020,AAAI,the Association for the Advancement of Artificial Intelligence
Real-Time Route Search by Locations,2020,AAAI,the Association for the Advancement of Artificial Intelligence
Pay Your Trip for Traffic Congestion: Dynamic Pricing in Traffic-Aware Road Networks,2020,AAAI,the Association for the Advancement of Artificial Intelligence
Adaptive Greedy versus Non-Adaptive Greedy for Influence Maximization,2020,AAAI,the Association for the Advancement of Artificial Intelligence
DeepVar: An End-to-End Deep Learning Approach for Genomic Variant Recognition in Biomedical Literature,2020,AAAI,the Association for the Advancement of Artificial Intelligence
Learning the Graphical Structure of Electronic Health Records with Graph Convolutional Transformer,2020,AAAI,the Association for the Advancement of Artificial Intelligence
CONAN: Complementary Pattern Augmentation for Rare Disease Detection,2020,AAAI,the Association for the Advancement of Artificial Intelligence
Differentially Private and Fair Classification via Calibrated Functional Mechanism,2020,AAAI,the Association for the Advancement of Artificial Intelligence
Predicting AC Optimal Power Flows: Combining Deep Learning and Lagrangian Dual Methods,2020,AAAI,the Association for the Advancement of Artificial Intelligence
CORE: Automatic Molecule Optimization Using Copy & Refine Strategy,2020,AAAI,the Association for the Advancement of Artificial Intelligence
GAN-Based Unpaired Chinese Character Image Translation via Skeleton Transformation and Stroke Rendering,2020,AAAI,the Association for the Advancement of Artificial Intelligence
Predictive Student Modeling in Educational Games with Multi-Task Learning,2020,AAAI,the Association for the Advancement of Artificial Intelligence
Enhancing Personalized Trip Recommendation with Attractive Routes,2020,AAAI,the Association for the Advancement of Artificial Intelligence
Graduate Employment Prediction with Bias,2020,AAAI,the Association for the Advancement of Artificial Intelligence
Multi-Scale Anomaly Detection on Attributed Networks,2020,AAAI,the Association for the Advancement of Artificial Intelligence
Accurate Structured-Text Spotting for Arithmetical Exercise Correction,2020,AAAI,the Association for the Advancement of Artificial Intelligence
Pairwise Learning with Differential Privacy Guarantees,2020,AAAI,the Association for the Advancement of Artificial Intelligence
CASTER: Predicting Drug Interactions with Chemical Substructure Representation,2020,AAAI,the Association for the Advancement of Artificial Intelligence
RL-Duet: Online Music Accompaniment Generation Using Deep Reinforcement Learning,2020,AAAI,the Association for the Advancement of Artificial Intelligence
A Graph Auto-Encoder for Haplotype Assembly and Viral Quasispecies Reconstruction,2020,AAAI,the Association for the Advancement of Artificial Intelligence
Generating Realistic Stock Market Order Streams,2020,AAAI,the Association for the Advancement of Artificial Intelligence
SynSig2Vec: Learning Representations from Synthetic Dynamic Signatures for Real-World Verification,2020,AAAI,the Association for the Advancement of Artificial Intelligence
