title,year,conf,conf_long
Natural Language Understanding with Privacy-Preserving BERT,2021,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
The Shapley Value of Classifiers in Ensemble Games,2021,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
Discovering Urban Functions of High-Definition Zoning with Continuous Human Traces,2021,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
SimpleX: A Simple and Strong Baseline for Collaborative Filtering,2021,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
UltraGCN: Ultra Simplification of Graph Convolutional Networks for Recommendation,2021,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
"To Be or not to Be, Tail Labels in Extreme Multi-label Learning",2021,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
Principled Multi-Aspect Evaluation Measures of Rankings,2021,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
An Efficient Quantitative Approach for Optimizing Convolutional Neural Networks,2021,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
Minimizing Spectral Radius of Non-Backtracking Matrix by Edge Removal,2021,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
Pre-training for Ad-hoc Retrieval: Hyperlink is Also You Need,2021,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
Tracking Semantic Evolutionary Changes in Large-Scale Ontological Knowledge Bases,2021,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
Pareto-optimal Community Search on Large Bipartite Graphs,2021,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
Learning Implicit User Profile for Personalized Retrieval-Based Chatbot,2021,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
Modeling Heterogeneous Graph Network on Fraud Detection: A Community-based Framework with Attention Mechanism,2021,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
Adversarial Separation Network for Cross-Network Node Classification,2021,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
Behind the Scenes: An Exploration of Trigger Biases Problem in Few-Shot Event Classification,2021,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
Cycle or Minkowski: Which is More Appropriate for Knowledge Graph Embedding?,2021,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
ECMA: An Efficient Convoy Mining Algorithm for Moving Objects,2021,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
Improving Chinese Character Representation with Formation Graph Attention Network,2021,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
Model-agnostic vs. Model-intrinsic Interpretability for Explainable Product Search,2021,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
Privacy-Preserving Batch-based Task Assignment in Spatial Crowdsourcing with Untrusted Server,2021,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
LiteGT: Efficient and Lightweight Graph Transformers,2021,CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT
