title,year,conf,conf_long
Invertible Denoising Network: A Light Solution for Real Noise Removal,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Greedy Hierarchical Variational Autoencoders for Large-Scale Video Prediction,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Over-the-Air Adversarial Flickering Attacks Against Video Recognition Networks,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Encoder Fusion Network With Co-Attention Embedding for Referring Image Segmentation,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Polka Lines: Learning Structured Illumination and Reconstruction for Active Stereo,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Image Inpainting With External-Internal Learning and Monochromic Bottleneck,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Patch2Pix: Epipolar-Guided Pixel-Level Correspondences,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Diverse Part Discovery: Occluded Person Re-Identification With Part-Aware Transformer,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Counterfactual Zero-Shot and Open-Set Visual Recognition,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Person30K: A Dual-Meta Generalization Network for Person Re-Identification,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Patch-NetVLAD: Multi-Scale Fusion of Locally-Global Descriptors for Place Recognition,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Visually Informed Binaural Audio Generation without Binaural Audios,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Dual Attention Guided Gaze Target Detection in the Wild,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Privacy Preserving Localization and Mapping From Uncalibrated Cameras,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Learning Calibrated Medical Image Segmentation via Multi-Rater Agreement Modeling,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Points As Queries: Weakly Semi-Supervised Object Detection by Points,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Removing Diffraction Image Artifacts in Under-Display Camera via Dynamic Skip Connection Network,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
iVPF: Numerical Invertible Volume Preserving Flow for Efficient Lossless Compression,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Pose Recognition With Cascade Transformers,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Data-Uncertainty Guided Multi-Phase Learning for Semi-Supervised Object Detection,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Prototype-Guided Saliency Feature Learning for Person Search,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Contrastive Learning for Compact Single Image Dehazing,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
I3Net: Implicit Instance-Invariant Network for Adapting One-Stage Object Detectors,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Body Meshes as Points,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Pixel-Aligned Volumetric Avatars,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
UC2: Universal Cross-Lingual Cross-Modal Vision-and-Language Pre-Training,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
"Generative PointNet: Deep Energy-Based Learning on Unordered Point Sets for 3D Generation, Reconstruction and Classification",2021,CVPR,The Conference on Computer Vision and Pattern Recognition
"Blur, Noise, and Compression Robust Generative Adversarial Networks",2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Invisible Perturbations: Physical Adversarial Examples Exploiting the Rolling Shutter Effect,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Introvert: Human Trajectory Prediction via Conditional 3D Attention,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Camouflaged Object Segmentation With Distraction Mining,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
RfD-Net: Point Scene Understanding by Semantic Instance Reconstruction,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
In the Light of Feature Distributions: Moment Matching for Neural Style Transfer,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
DOTS: Decoupling Operation and Topology in Differentiable Architecture Search,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
DriveGAN: Towards a Controllable High-Quality Neural Simulation,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Style-Aware Normalized Loss for Improving Arbitrary Style Transfer,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Wide-Depth-Range 6D Object Pose Estimation in Space,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Learning Salient Boundary Feature for Anchor-free Temporal Action Localization,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Monocular Depth Estimation via Listwise Ranking Using the Plackett-Luce Model,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Holistic 3D Scene Understanding From a Single Image With Implicit Representation,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
MultiBodySync: Multi-Body Segmentation and Motion Estimation via 3D Scan Synchronization,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Learning Optical Flow From a Few Matches,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Learnable Motion Coherence for Correspondence Pruning,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
ManipulaTHOR: A Framework for Visual Object Manipulation,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
DeepI2P: Image-to-Point Cloud Registration via Deep Classification,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Scene-Intuitive Agent for Remote Embodied Visual Grounding,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Human-Like Controllable Image Captioning With Verb-Specific Semantic Roles,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Enhancing the Transferability of Adversarial Attacks Through Variance Tuning,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
HistoGAN: Controlling Colors of GAN-Generated and Real Images via Color Histograms,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
BiCnet-TKS: Learning Efficient Spatial-Temporal Representation for Video Person Re-Identification,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Probabilistic Model Distillation for Semantic Correspondence,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
OpenRooms: An Open Framework for Photorealistic Indoor Scene Datasets,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
SSAN: Separable Self-Attention Network for Video Representation Learning,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
4D Panoptic LiDAR Segmentation,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
SceneGen: Learning To Generate Realistic Traffic Scenes,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Natural Adversarial Examples,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
CausalVAE: Disentangled Representation Learning via Neural Structural Causal Models,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
VideoMoCo: Contrastive Video Representation Learning With Temporally Adversarial Examples,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Zero-Shot Instance Segmentation,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Stereo Radiance Fields (SRF): Learning View Synthesis for Sparse Views of Novel Scenes,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Global Transport for Fluid Reconstruction With Learned Self-Supervision,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
SliceNet: Deep Dense Depth Estimation From a Single Indoor Panorama Using a Slice-Based Representation,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Offboard 3D Object Detection From Point Cloud Sequences,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
STaR: Self-Supervised Tracking and Reconstruction of Rigid Objects in Motion With Neural Rendering,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Generalization on Unseen Domains via Inference-Time Label-Preserving Target Projections,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Monocular 3D Object Detection: An Extrinsic Parameter Free Approach,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Communication Efficient SGD via Gradient Sampling With Bayes Prior,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
AdaBins: Depth Estimation Using Adaptive Bins,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
VirFace: Enhancing Face Recognition via Unlabeled Shallow Data,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Pulsar: Efficient Sphere-Based Neural Rendering,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Contrastive Learning Based Hybrid Networks for Long-Tailed Image Classification,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Visualizing Adapted Knowledge in Domain Transfer,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Delving into Data: Effectively Substitute Training for Black-box Attack,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
How To Exploit the Transferability of Learned Image Compression to Conventional Codecs,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
CorrNet3D: Unsupervised End-to-End Learning of Dense Correspondence for 3D Point Clouds,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Single-View Robot Pose and Joint Angle Estimation via Render & Compare,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Harmonious Semantic Line Detection via Maximal Weight Clique Selection,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
