title,year,conf,conf_long
BA-Net: Dense Bundle Adjustment Networks,2019,ICLR,International Conference on Machine Learning
Deterministic Variational Inference for Robust Bayesian Neural Networks,2019,ICLR,International Conference on Machine Learning
Ordered Neurons: Integrating Tree Structures into Recurrent Neural Networks,2019,ICLR,International Conference on Machine Learning
Large Scale GAN Training for High Fidelity Natural Image Synthesis,2019,ICLR,International Conference on Machine Learning
Learning deep representations by mutual information estimation and maximization,2019,ICLR,International Conference on Machine Learning
KnockoffGAN: Generating Knockoffs for Feature Selection using Generative Adversarial Networks,2019,ICLR,International Conference on Machine Learning
Learning Protein Structure with a Differentiable Simulator,2019,ICLR,International Conference on Machine Learning
ImageNet-trained CNNs are biased towards texture; increasing shape bias improves accuracy and robustness,2019,ICLR,International Conference on Machine Learning
Smoothing the Geometry of Probabilistic Box Embeddings,2019,ICLR,International Conference on Machine Learning
"On Random Deep Weight-Tied Autoencoders: Exact Asymptotic Analysis, Phase Transitions, and Implications to Training",2019,ICLR,International Conference on Machine Learning
Meta-Learning Update Rules for Unsupervised Representation Learning,2019,ICLR,International Conference on Machine Learning
Transferring Knowledge across Learning Processes,2019,ICLR,International Conference on Machine Learning
GENERATING HIGH FIDELITY IMAGES WITH SUBSCALE PIXEL NETWORKS AND MULTIDIMENSIONAL UPSCALING,2019,ICLR,International Conference on Machine Learning
Temporal Difference Variational Auto-Encoder,2019,ICLR,International Conference on Machine Learning
A Unified Theory of Early Visual Representations from Retina to Cortex through Anatomically Constrained Deep CNNs,2019,ICLR,International Conference on Machine Learning
Pay Less Attention with Lightweight and Dynamic Convolutions,2019,ICLR,International Conference on Machine Learning
Enabling Factorized Piano Music Modeling and Generation with the MAESTRO Dataset,2019,ICLR,International Conference on Machine Learning
Learning to Remember More with Less Memorization,2019,ICLR,International Conference on Machine Learning
Learning Robust Representations by Projecting Superficial Statistics Out,2019,ICLR,International Conference on Machine Learning
"Slalom: Fast, Verifiable and Private Execution of Neural Networks in Trusted Hardware",2019,ICLR,International Conference on Machine Learning
"The Neuro-Symbolic Concept Learner: Interpreting Scenes, Words, and Sentences From Natural Supervision",2019,ICLR,International Conference on Machine Learning
"The Lottery Ticket Hypothesis: Finding Sparse, Trainable Neural Networks",2019,ICLR,International Conference on Machine Learning
FFJORD: Free-Form Continuous Dynamics for Scalable Reversible Generative Models,2019,ICLR,International Conference on Machine Learning
How Powerful are Graph Neural Networks?,2019,ICLR,International Conference on Machine Learning
Convolutional Neural Networks on Non-uniform Geometrical Signals Using Euclidean Spectral Transformation,2019,ICLR,International Conference on Machine Learning
Augmented Cyclic Adversarial Learning for Low Resource Domain Adaptation,2019,ICLR,International Conference on Machine Learning
Variance Networks: When Expectation Does Not Meet Your Expectations,2019,ICLR,International Conference on Machine Learning
Initialized Equilibrium Propagation for Backprop-Free Training,2019,ICLR,International Conference on Machine Learning
Explaining Image Classifiers by Counterfactual Generation,2019,ICLR,International Conference on Machine Learning
SNIP: SINGLE-SHOT NETWORK PRUNING BASED ON CONNECTION SENSITIVITY,2019,ICLR,International Conference on Machine Learning
Diagnosing and Enhancing VAE Models,2019,ICLR,International Conference on Machine Learning
Disjoint Mapping Network for Cross-modal Matching of Voices and Faces,2019,ICLR,International Conference on Machine Learning
Automatically Composing Representation Transformations as a Means for Generalization,2019,ICLR,International Conference on Machine Learning
Visual Reasoning by Progressive Module Networks,2019,ICLR,International Conference on Machine Learning
Bayesian Deep Convolutional Networks with Many Channels are Gaussian Processes,2019,ICLR,International Conference on Machine Learning
Learning to Learn without Forgetting by Maximizing Transfer and Minimizing Interference,2019,ICLR,International Conference on Machine Learning
