title,year,conf,conf_long
Autoencoder Image Interpolation by Shaping the Latent Space,2021,ICML,International Conference on Machine Learning
Risk-Sensitive Reinforcement Learning with Function Approximation: A Debiasing Approach,2021,ICML,International Conference on Machine Learning
Generative Adversarial Transformers,2021,ICML,International Conference on Machine Learning
Federated Learning under Arbitrary Communication Patterns,2021,ICML,International Conference on Machine Learning
Multi-Agent Training beyond Zero-Sum with Correlated Equilibrium Meta-Solvers,2021,ICML,International Conference on Machine Learning
Thinking Like Transformers,2021,ICML,International Conference on Machine Learning
Hierarchical VAEs Know What They Don’t Know,2021,ICML,International Conference on Machine Learning
Grid-Functioned Neural Networks,2021,ICML,International Conference on Machine Learning
Self Normalizing Flows,2021,ICML,International Conference on Machine Learning
Riemannian Convex Potential Maps,2021,ICML,International Conference on Machine Learning
Bias-Robust Bayesian Optimization via Dueling Bandits,2021,ICML,International Conference on Machine Learning
Simultaneous Similarity-based Self-Distillation for Deep Metric Learning,2021,ICML,International Conference on Machine Learning
E(n) Equivariant Graph Neural Networks,2021,ICML,International Conference on Machine Learning
Navigation Turing Test (NTT): Learning to Evaluate Human-Like Navigation,2021,ICML,International Conference on Machine Learning
Generative Particle Variational Inference via Estimation of Functional Gradients,2021,ICML,International Conference on Machine Learning
Projection Robust Wasserstein Barycenters,2021,ICML,International Conference on Machine Learning
Muesli: Combining Improvements in Policy Optimization,2021,ICML,International Conference on Machine Learning
Revisiting Rainbow: Promoting more insightful and inclusive deep reinforcement learning research,2021,ICML,International Conference on Machine Learning
Neuro-algorithmic Policies Enable Fast Combinatorial Generalization,2021,ICML,International Conference on Machine Learning
A Novel Sequential Coreset Method for Gradient Descent Algorithms,2021,ICML,International Conference on Machine Learning
Principled Simplicial Neural Networks for Trajectory Prediction,2021,ICML,International Conference on Machine Learning
Sliced Iterative Normalizing Flows,2021,ICML,International Conference on Machine Learning
UneVEn: Universal Value Exploration for Multi-Agent Reinforcement Learning,2021,ICML,International Conference on Machine Learning
Model-Free Reinforcement Learning: from Clipped Pseudo-Regret to Sample Complexity,2021,ICML,International Conference on Machine Learning
Voice2Series: Reprogramming Acoustic Models for Time Series Classification,2021,ICML,International Conference on Machine Learning
EMaQ: Expected-Max Q-Learning Operator for Simple Yet Effective Offline and Online RL,2021,ICML,International Conference on Machine Learning
