title,year,conf,conf_long
A Block Decomposition Algorithm for Sparse Optimization,2020,KDD,Special Interest Group on Knowledge Discovery and Data Mining
A causal look at statistical definitions of discrimination,2020,KDD,Special Interest Group on Knowledge Discovery and Data Mining
A Data Driven Graph Generative Model for Temporal Interaction Networks,2020,KDD,Special Interest Group on Knowledge Discovery and Data Mining
A Framework for Recommending Accurate and Diverse Items Using Bayesian Graph Convolutional Neural Networks,2020,KDD,Special Interest Group on Knowledge Discovery and Data Mining
A Geometric Approach to Predicting Bounds of Downstream Model Performance,2020,KDD,Special Interest Group on Knowledge Discovery and Data Mining
A Non-Iterative Quantile Change Detection Method in Mixture Model with Heavy-Tailed Components,2020,KDD,Special Interest Group on Knowledge Discovery and Data Mining
A Novel Deep Learning Model by Stacking Conditional Restricted Boltzmann Machine and Deep Neural Network,2020,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Adaptive Graph Encoder for Attributed Graph Embedding,2020,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Adversarial Infidelity Learning for Model Interpretation,2020,KDD,Special Interest Group on Knowledge Discovery and Data Mining
AdvMind: Inferring Adversary Intent of Black-Box Attacks,2020,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Algorithmic Aspects of Temporal Betweenness,2020,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Algorithmic Decision Making with Conditional Fairness,2020,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Aligning Superhuman AI with Human Behavior: Chess as a Model System,2020,KDD,Special Interest Group on Knowledge Discovery and Data Mining
ALO-NMF: Accelerated Locality-Optimized Non-negative Matrix Factorization,2020,KDD,Special Interest Group on Knowledge Discovery and Data Mining
AM-GCN: Adaptive Multi-channel Graph Convolutional Networks,2020,KDD,Special Interest Group on Knowledge Discovery and Data Mining
An Efficient Neighborhood-based Interaction Model for Recommendation on Heterogeneous Graph,2020,KDD,Special Interest Group on Knowledge Discovery and Data Mining
An Embarrassingly Simple Approach for Trojan Attack in Deep Neural Networks,2020,KDD,Special Interest Group on Knowledge Discovery and Data Mining
ASGN: An Active Semi-supervised  Graph Neural Network for Molecular Property Prediction,2020,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Attackability Characterization of Adversarial Evasion Attack on Discrete Data,2020,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Attention and Memory-Augmented Networks for Dual-View Sequential Learning,2020,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Attentional Multi-graph Convolutional Network for Regional Economy Prediction with Open Migration Data,2020,KDD,Special Interest Group on Knowledge Discovery and Data Mining
AutoGrow: Automatic Layer Growing in Deep Convolutional Networks,2020,KDD,Special Interest Group on Knowledge Discovery and Data Mining
AutoML Pipeline Selection: Efficiently Navigating the Combinatorial Space,2020,KDD,Special Interest Group on Knowledge Discovery and Data Mining
AutoShuffleNet: Learning Permutation Matrices via an Exact Lipschitz Continuous Penalty in Deep Convolutional Neural Networks,2020,KDD,Special Interest Group on Knowledge Discovery and Data Mining
AutoST: Efficient Neural Architecture Search for Spatio-Temporal Prediction,2020,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Average Sensitivity of Spectral Clustering,2020,KDD,Special Interest Group on Knowledge Discovery and Data Mining
BLOB: A Probabilistic Model for Recommendation that Combines Organic and Bandit Signals,2020,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Block Model Guided Unsupervised Feature Selection,2020,KDD,Special Interest Group on Knowledge Discovery and Data Mining
BOND: Bert-Assisted Open-Domain Named Entity Recognition with Distant Supervision,2020,KDD,Special Interest Group on Knowledge Discovery and Data Mining
CAST: A Correlation-based Adaptive Spectral Clustering Algorithm on Multi-scale Data,2020,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Catalysis Clustering With GAN By Incorporating Domain Knowledge,2020,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Certifiable Robustness of Graph Convolutional Networks under Structure Perturbations,2020,KDD,Special Interest Group on Knowledge Discovery and Data Mining
CICLAD: A Fast and Memory-efficient Closed Itemset Miner for Streams,2020,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Combinatorial Black-Box Optimization with Expert Advice,2020,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Competitive Analysis for Points of Interest,2020,KDD,Special Interest Group on Knowledge Discovery and Data Mining
COMPOSE: Cross-Modal Pseudo-Siamese Network for Patient Trial Matching,2020,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Compositional Embeddings Using Complementary Partitions for Memory-Efficient Recommendation Systems,2020,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Connecting the Dots:  Multivariate Time Series Forecasting with Graph Neural Networks,2020,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Context-to-Session Matching: Utilizing Whole Session for Response Selection in Information-Seeking Dialogue Systems,2020,KDD,Special Interest Group on Knowledge Discovery and Data Mining
CoRel: Seed-Guided Topical Taxonomy Construction by Concept Learning and Relation Transferring,2020,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Correlation Networks for Extreme Multi-label Text Classification,2020,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Counterfactual Evaluation of Slate Recommendations with Sequential Reward Interactions,2020,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Curb-GAN: Conditional Urban Traffic Estimation through Spatio-Temporal Generative Adversarial Networks,2020,KDD,Special Interest Group on Knowledge Discovery and Data Mining
CurvaNet: Geometric Deep Learning based on Multi-scale Directional Curvature for 3D Shape Analysis,2020,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Data Compression as a Comprehensive Framework for Graph Drawing and Representation Learning,2020,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Deep Exogenous and Endogenous Influence Combination for Social Chatter Intensity Prediction,2020,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Deep Learning of High-Order Interactions for Protein Interface Prediction,2020,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Deep State-Space Generative Model For Correlated Time-to-Event Predictions,2020,KDD,Special Interest Group on Knowledge Discovery and Data Mining
DeepLine: AutoML Tool for Pipelines Generation using Deep Reinforcement Learning and Hierarchical Actions Filtering,2020,KDD,Special Interest Group on Knowledge Discovery and Data Mining
DeepSinger: Singing Voice Synthesis with Data Mined From the Web,2020,KDD,Special Interest Group on Knowledge Discovery and Data Mining
DETERRENT: Knowledge Guided Graph Attention Network for Detecting Healthcare Misinformation,2020,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Directional Multivariate Ranking,2020,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Discovering Approximate Functional Dependencies using Smoothed Mutual Information,2020,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Discovering Functional Dependencies from Mixed-Type Data,2020,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Discovering Succinct Pattern Sets Expressing Co-Occurrence and Mutual Exclusivity,2020,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Disentangled Self-Supervision in Sequential Recommenders,2020,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Diverse Rule Sets,2020,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Dual Channel Hypergraph Collaborative Filtering,2020,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Dynamic Knowledge Graph based Multi-Event Forecasting,2020,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Edge-consensus Learning: Deep Learning on P2P Networks with Nonhomogeneous Data,2020,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Efficient Algorithm for the b-Matching Graph,2020,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Enterprise Cooperation and Competition Analysis with Sign-Oriented Preference Network,2020,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Estimating Properties of Social Networks via Random Walk considering Private Nodes,2020,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Estimating the Percolation Centrality of Large Networks through Pseudo-dimension Theory,2020,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Evaluating Conversational Recommender Systems via User Simulation,2020,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Evaluating Fairness using Permutation Tests,2020,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Fast RobustSTL: Efficient and Robust Seasonal-Trend Decomposition for Time Series with Complex Patterns,2020,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Feature-Induced Manifold Disambiguation for Multi-View Partial Multi-label Learning,2020,KDD,Special Interest Group on Knowledge Discovery and Data Mining
FedFast: Going Beyond Average for Faster Training of Federated Recommender Systems,2020,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Finding Effective Geo-social Group for Impromptu Activities with Diverse Demands,2020,KDD,Special Interest Group on Knowledge Discovery and Data Mining
FreeDOM: A Transferable Neural Architecture for Structured Information Extraction on Web Documents,2020,KDD,Special Interest Group on Knowledge Discovery and Data Mining
From Online to Non-i.i.d. Batch Learning,2020,KDD,Special Interest Group on Knowledge Discovery and Data Mining
GCC: Graph Contrastive Coding for Graph Neural Network Pre-Training,2020,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Generic Outlier Detection in Multi-Armed Bandit,2020,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Geodesic Forests,2020,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Geography-Aware Sequential Location Recommendation,2020,KDD,Special Interest Group on Knowledge Discovery and Data Mining
GHashing: Semantic Graph Hashing for Approximate Similarity Search in Graph Databases,2020,KDD,Special Interest Group on Knowledge Discovery and Data Mining
GPT-GNN: Generative Pre-Training of Graph Neural Networks,2020,KDD,Special Interest Group on Knowledge Discovery and Data Mining
GRACE: Generating Concise and Informative Contrastive Sample to Explain Neural Network Model,2020,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Grammatically Recognizing Images with Tree Convolution,2020,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Graph Attention Networks over Edge  Content-Based Channels,2020,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Graph Structural-topic Neural Network,2020,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Graph Structure Learning for Robust Graph Neural Networks,2020,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Grounding Visual Concepts for Multimedia Event Detection and Multimedia Event Captioning in Zero-shot Setting,2020,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Handling Information Loss of Graph Neural Networks for Session-based Recommendation,2020,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Heidegger: Interpretable Temporal Causal Discovery,2020,KDD,Special Interest Group on Knowledge Discovery and Data Mining
HGCN: A Heterogeneous Graph Convolutional Network-Based Deep Learning Model Toward Collective Classification,2020,KDD,Special Interest Group on Knowledge Discovery and Data Mining
HGMF: Heterogeneous Graph-based Fusion for Multimodal Data with Incompleteness,2020,KDD,Special Interest Group on Knowledge Discovery and Data Mining
Hierarchical Attention Propagation for Healthcare Representation Learning,2020,KDD,Special Interest Group on Knowledge Discovery and Data Mining
