title,year,conf,conf_long
“Is it a Qoincidence?”: An Exploratory Study of QAnon on Voat,2021,WWW,International World Wide Web Conference
“Short is the Road that Leads from Fear to Hate”: Fear Speech in Indian WhatsApp Groups,2021,WWW,International World Wide Web Conference
"“Go eat a bat, Chang!”: On the Emergence of Sinophobic Behavior on Web Communities in the Face of COVID-19",2021,WWW,International World Wide Web Conference
#Twiti: Social Listening for Threat Intelligence,2021,WWW,International World Wide Web Conference
A Cooperative Memory Network for Personalized Task-oriented Dialogue Systems with Incomplete User Profiles,2021,WWW,International World Wide Web Conference
A First Look at DeepFake Videos in the Wild: Analysis and Detection,2021,WWW,International World Wide Web Conference
A Generative Adversarial Click Model for Information Retrieval,2021,WWW,International World Wide Web Conference
A Hybrid Bandit Model with Visual Priors for Creative Ranking in Display Advertising,2021,WWW,International World Wide Web Conference
A Linguistic Study on Relevance Modeling in Information Retrieval,2021,WWW,International World Wide Web Conference
A Longitudinal Study of Removed Apps in iOS App Store,2021,WWW,International World Wide Web Conference
A Model of Two Tales: Dual Transfer Learning Framework for Improved Long-tail Item Recommendation,2021,WWW,International World Wide Web Conference
A Multi-Agent Reinforcement Learning Framework for Intelligent Electric Vehicle Charging Recommendation,2021,WWW,International World Wide Web Conference
A Novel Macro-Micro Fusion Network for User Representation Learning on Mobile Apps,2021,WWW,International World Wide Web Conference
A Recommender System for Crowdsourcing Food Rescue Platforms,2021,WWW,International World Wide Web Conference
"A Scalable, Adaptive and Sound Nonconvex Regularizer for Low-rank Matrix Completion",2021,WWW,International World Wide Web Conference
A Targeted Attack on Black-Box Neural Machine Translation with Parallel Data Poisoning,2021,WWW,International World Wide Web Conference
A Trigger-Sense Memory Flow Framework for Joint Entity and Relation Extraction,2021,WWW,International World Wide Web Conference
A Workflow Analysis of Context-driven Conversational Recommendation,2021,WWW,International World Wide Web Conference
Adapting to Context-Aware Knowledge in Natural Conversation for Multi-Turn Response Selection,2021,WWW,International World Wide Web Conference
Advanced Semantics for Commonsense Knowledge Extraction,2021,WWW,International World Wide Web Conference
Adversarial and Contrastive Variational Autoencoder for Sequential Recommendation,2021,WWW,International World Wide Web Conference
Adversarial Item Promotion: Vulnerabilities at the Core of Top-N Recommenders that Use Images to Address Cold Start,2021,WWW,International World Wide Web Conference
AID: Active Distillation Machine to Leverage Pre-Trained Black-Box Models in Private Data Settings,2021,WWW,International World Wide Web Conference
An Adversarial Transfer Network for Knowledge Representation Learning,2021,WWW,International World Wide Web Conference
An Alternative Cross Entropy Loss for Learning-to-Rank,2021,WWW,International World Wide Web Conference
"An Empirical Study of Real-World WebAssembly Binaries: Security, Languages, Use Cases",2021,WWW,International World Wide Web Conference
An Experimental Study to Understand User Experience and Perception Bias Occurred by Fact-checking Messages,2021,WWW,International World Wide Web Conference
An Investigation of Identity-Account Inconsistency in Single Sign-On,2021,WWW,International World Wide Web Conference
Assessing the Effects of Friend-to-Friend Texting on Turnout in the 2018 US Midterm Elections,2021,WWW,International World Wide Web Conference
ATJ-Net: Auto-Table-Join Network for Automatic Learning on Relational Databases,2021,WWW,International World Wide Web Conference
ATTENT: Active Attributed Network Alignment,2021,WWW,International World Wide Web Conference
Auction Design for ROI-Constrained Buyers,2021,WWW,International World Wide Web Conference
Auditing for Discrimination in Algorithms Delivering Job Ads,2021,WWW,International World Wide Web Conference
Autodidactic Neurosurgeon: Collaborative Deep Inference for Mobile Edge Intelligence via Online Learning,2021,WWW,International World Wide Web Conference
Automated Creative Optimization for E-Commerce Advertising,2021,WWW,International World Wide Web Conference
Automatic Intent-Slot Induction for Dialogue Systems,2021,WWW,International World Wide Web Conference
AutoSTG: Neural Architecture Search for Predictions of Spatio-Temporal Graph,2021,WWW,International World Wide Web Conference
BBR Bufferbloat in DASH Video,2021,WWW,International World Wide Web Conference
